date,price,open,high,low,volume,change_percent
"Sep 07, 2018",0.045,0.050,0.055,0.045,223.12M,-10.00%
"Sep 06, 2018",0.050,0.045,0.050,0.045,67.01M,0.00%
"Sep 05, 2018",0.050,0.050,0.050,0.045,14.38M,0.00%
"Sep 04, 2018",0.050,0.055,0.055,0.045,39.95M,0.00%
"Sep 03, 2018",0.050,0.050,0.055,0.045,104.68M,-16.67%
"Aug 30, 2018",0.060,0.065,0.065,0.060,20.90M,-7.69%
"Aug 29, 2018",0.065,0.065,0.065,0.060,26.51M,0.00%
"Aug 28, 2018",0.065,0.065,0.070,0.060,17.04M,0.00%
"Aug 27, 2018",0.065,0.065,0.070,0.060,64.11M,0.00%
"Aug 24, 2018",0.065,0.065,0.070,0.065,4.42M,0.00%
"Aug 23, 2018",0.065,0.070,0.070,0.065,18.74M,-7.14%
"Aug 21, 2018",0.070,0.070,0.075,0.065,94.67M,0.00%
"Aug 20, 2018",0.070,0.070,0.075,0.065,104.42M,-6.67%
"Aug 17, 2018",0.075,0.070,0.075,0.070,11.07M,7.14%
"Aug 16, 2018",0.070,0.075,0.075,0.070,18.52M,-6.67%
"Aug 15, 2018",0.075,0.075,0.080,0.075,4.90M,-6.25%
"Aug 14, 2018",0.080,0.075,0.080,0.075,3.31M,6.67%
"Aug 13, 2018",0.075,0.075,0.080,0.075,12.39M,0.00%
"Aug 10, 2018",0.075,0.075,0.080,0.075,20.78M,7.14%
"Aug 09, 2018",0.070,0.075,0.075,0.070,4.86M,-6.67%
"Aug 08, 2018",0.075,0.075,0.080,0.070,20.90M,0.00%
"Aug 07, 2018",0.075,0.075,0.080,0.075,5.80M,0.00%
"Aug 06, 2018",0.075,0.075,0.080,0.070,13.40M,0.00%
"Aug 03, 2018",0.075,0.075,0.080,0.070,14.10M,0.00%
"Aug 02, 2018",0.075,0.075,0.080,0.070,62.41M,0.00%
"Aug 01, 2018",0.075,0.075,0.085,0.075,42.80M,0.00%
"Jul 31, 2018",0.075,0.080,0.085,0.075,19.58M,-6.25%
"Jul 30, 2018",0.080,0.080,0.085,0.075,36.10M,-5.88%
"Jul 27, 2018",0.085,0.075,0.085,0.075,60.91M,13.33%
"Jul 26, 2018",0.075,0.075,0.080,0.075,26.23M,0.00%
"Jul 25, 2018",0.075,0.075,0.080,0.070,52.26M,0.00%
"Jul 24, 2018",0.075,0.080,0.080,0.070,48.73M,0.00%
"Jul 23, 2018",0.075,0.080,0.085,0.075,35.50M,-6.25%
"Jul 20, 2018",0.080,0.085,0.085,0.080,18.64M,-11.11%
"Jul 19, 2018",0.090,0.090,0.100,0.085,91.17M,0.00%
"Jul 18, 2018",0.090,0.085,0.100,0.080,115.16M,-14.29%
"Jul 17, 2018",0.105,0.103,0.107,0.100,49.16M,1.94%
"Jul 16, 2018",0.103,0.105,0.107,0.103,41.92M,-1.90%
"Jul 13, 2018",0.105,0.107,0.110,0.105,26.39M,-1.87%
"Jul 12, 2018",0.107,0.105,0.110,0.103,29.30M,0.00%
"Jul 11, 2018",0.107,0.110,0.110,0.105,18.25M,-2.73%
"Jul 10, 2018",0.110,0.112,0.115,0.107,40.69M,-4.35%
"Jul 09, 2018",0.115,0.112,0.117,0.112,38.41M,2.68%
"Jul 06, 2018",0.112,0.112,0.115,0.110,11.98M,1.82%
"Jul 05, 2018",0.110,0.117,0.117,0.110,13.76M,-4.35%
"Jul 04, 2018",0.115,0.112,0.117,0.112,13.00M,2.68%
"Jul 03, 2018",0.112,0.115,0.115,0.110,10.06M,0.00%
"Jul 02, 2018",0.112,0.117,0.120,0.110,19.77M,-4.27%
"Jun 29, 2018",0.117,0.112,0.117,0.112,17.57M,1.74%
"Jun 28, 2018",0.115,0.112,0.115,0.112,4.85M,2.68%
"Jun 27, 2018",0.112,0.115,0.115,0.110,12.52M,-2.61%
"Jun 26, 2018",0.115,0.112,0.115,0.112,9.62M,0.00%
"Jun 25, 2018",0.115,0.120,0.120,0.112,15.56M,-4.17%
"Jun 22, 2018",0.120,0.115,0.120,0.112,11.49M,4.35%
"Jun 21, 2018",0.115,0.122,0.122,0.112,26.96M,-4.17%
"Jun 20, 2018",0.120,0.120,0.122,0.117,16.61M,2.56%
"Jun 19, 2018",0.117,0.124,0.127,0.117,50.68M,0.00%
"Jun 18, 2018",0.117,0.120,0.120,0.115,11.76M,-2.50%
"Jun 14, 2018",0.120,0.117,0.122,0.117,24.37M,4.35%
"Jun 13, 2018",0.115,0.115,0.117,0.112,13.45M,0.00%
"Jun 12, 2018",0.115,0.117,0.117,0.112,11.53M,-1.71%
"Jun 11, 2018",0.117,0.117,0.122,0.115,9.15M,0.00%
