code,name,yield_sum,yield_mean
5191,Tambun Indah Land Bhd (TAMB),49.69,16.5633
5272,Ranhill Holdings Ltd (RANH),48.11,24.055
5161,JCY International Bhd (JCYI),47.34,23.67
5254,Boustead Plantations Bhd (BOPL),47.29,23.645
6084,Star Media Group Bhd (STAR),45.65,15.2167
5078,Marine & General Bhd (MARI),45.45,45.45
8524,Taliworks Corporation Bhd (TWRK),42.03,21.015
4502,Media Prima Bhd (MPRM),41.03,20.515
5010,Tong Herr Resources Bhd (THRB),40.67,13.5567
3859,Magnum Bhd (MAGM),39.69,19.845
7157,CYL Corporation Bhd (CYLC),39.21,13.07
6009,Pacific Orient Bhd (PACO),38.43,19.215
1562,Berjaya Sports Toto Bhd (BSTB),37.92,18.96
5095,HeveaBoard Bhd (HEVE),37.69,18.845
5180,CapitaLand Malaysia Mall Trust (CAMA),36.07,12.0233
5109,YTL Hospitality REIT (YTLR),36.05,18.025
1198,MAA Group Bhd (MAAS),35.97,17.985
5436,Perusahaan Sadur Timah Malaysia Perstima Bhd (PSTM),34.68,11.56
7237,Power Root Bhd (POWE),34.63,17.315
5236,Matrix Concepts Holdings Bhd (MATR),33.15,16.575
5176,Sunway Real Estate Investment Trust (SUNW),33.08,16.54
7099,Atta Global Group Bhd (ATTA),32.5,16.25
5123,MRCB-Quill REIT Unit (MQRE),31.49,10.4967
5121,Hektar Real Estate Investment Trust (HEKR),31.31,15.655
7089,Lii Hen Industries Bhd (LHEN),30.33,15.165
7374,Tien Wah Press Holdings Bhd (TWPH),30.27,15.135
5070,Protasco Bhd (PRTO),29.67,14.835
5090,Media Chinese International Ltd (MDCH),29.38,14.69
5212,Pavilion Real Estate Inv Trust (PREI),29.23,9.74333
2771,Boustead Holdings Bhd (BOUS),29.12,14.56
7081,Pharmaniaga Bhd (PHMA),29.05,14.525
7169,Dominant Enterprise Bhd (DOMN),28.52,14.26
5228,ELK-Desa Resources Bhd (ELKD),28.17,14.085
5248,Bermaz Auto Bhd (BERA),27.94,13.97
5227,IGB Real Estate Investment Trust (IGRE),27.84,13.92
5235SS,KLCC Property Holdings Bhd (KLCC),27.71,13.855
4448,Tasek Corporation Bhd (TKCS),27.18,13.59
2674,Aluminium Company of Malaysia Bhd (ALCO),26.28,26.28
7811,Sapura Industrial Bhd (SAPU),25.49,12.745
5209,Gas Malaysia Bhd (GASM),25.42,12.71
3107,Fima Corporation Bhd (FIMA),24.58,12.29
