code,ann_date,ex_date,payment_date,dividend_type,subject,amount
0012,06-Nov-2017,24-Nov-2017,12-Dec-2017,DIVIDEND,First Interim Dividend,RM 0.018
0012,11-May-2017,23-May-2017,25-May-2017,BONUS_ISSUE,Bonus Issue,1 : 4
0012,15-Nov-2016,25-Nov-2016,13-Dec-2016,DIVIDEND,Interim Dividend,RM 0.018
0012,24-Nov-2015,16-Dec-2015,08-Jan-2016,DIVIDEND,Interim Dividend,7.0000%
0012,28-Nov-2014,18-Dec-2014,05-Jan-2015,DIVIDEND,Interim Dividend,7%
0012,29-Nov-2013,18-Dec-2013,08-Jan-2014,DIVIDEND,Interim Dividend,6%
0012,27-Nov-2012,21-Dec-2012,11-Jan-2013,DIVIDEND,Interim Dividend,6%
0012,22-Nov-2011,19-Dec-2011,10-Jan-2012,DIVIDEND,Interim Dividend,6%
0012,29-Nov-2010,21-Dec-2010,11-Jan-2011,DIVIDEND,Interim Dividend,6%
0012,17-Dec-2009,31-Dec-2009,19-Jan-2010,DIVIDEND,Interim Dividend,8%
0012,10-Feb-2009,23-Feb-2009,11-Mar-2009,DIVIDEND,Interim Dividend,5%
0012,29-May-2008,13-Jun-2008,17-Jun-2008,BONUS_ISSUE,Bonus Issue,3 : 5
0012,28-Jan-2008,13-Feb-2008,03-Mar-2008,DIVIDEND,Interim Dividend,6%
0012,10-Jan-2007,25-Jan-2007,13-Feb-2007,DIVIDEND,Interim Dividend,6%
0012,28-Jun-2005,13-Jul-2005,15-Jul-2005,BONUS_ISSUE,Bonus Issue,1 : 4
7054,12-May-2016,25-May-2016,27-May-2016,BONUS_ISSUE,Bonus Issue,9 : 2
7054,16-Jun-2014,21-Aug-2014,15-Sep-2014,DIVIDEND,Interim Dividend,RM 0.02
7054,12-Jun-2013,16-Aug-2013,17-Sep-2013,DIVIDEND,Interim Dividend,RM 0.02
7054,08-Jun-2012,27-Jun-2012,27-Jul-2012,DIVIDEND,Interim Dividend,RM 0.03
7054,31-May-2011,08-Jul-2011,08-Aug-2011,DIVIDEND,Interim Dividend,RM 0.02
7054,10-May-2010,18-Jun-2010,08-Jul-2010,DIVIDEND,First and Final Dividend,RM 0.02
7054,06-May-2009,11-Jun-2009,08-Jul-2009,DIVIDEND,First and Final Dividend,3.5%
7054,25-Apr-2008,26-May-2008,03-Jul-2008,DIVIDEND,First and Final Dividend,RM 0.05
7054,07-Feb-2007,15-Mar-2007,18-Apr-2007,DIVIDEND,Second interim dividend,RM 0.035
7054,29-Sep-2006,20-Oct-2006,15-Nov-2006,DIVIDEND,Interim Dividend,RM 0.015
7054,19-May-2003,25-Jun-2003,28-Jul-2003,DIVIDEND,First and Final Dividend,1.5%
7054,28-Jun-2002,15-Jul-2002,17-Jul-2002,BONUS_ISSUE,Bonus Issue,1 : 2
7054,22-May-2002,26-Jun-2002,26-Jul-2002,DIVIDEND,First and Final Dividend,2.5%
7054,17-May-2001,19-Jun-2001,13-Jul-2001,DIVIDEND,First and Final Dividend,RM 0.025
7054,04-Aug-2000,29-Aug-2000,05-Sep-2000,RIGHTS_ISSUE,Rights Issue,2 : 3
7054,04-Aug-2000,29-Aug-2000,05-Sep-2000,BONUS_ISSUE,Bonus Issue,1 : 3
7054,04-Mar-2000,22-Jun-2000,13-Jul-2000,DIVIDEND,First and Final Dividend,RM 0.05
5238,29-Apr-2015,13-May-2015,15-May-2015,RIGHTS_ISSUE,Rights Issue,3 : 4
7086,12-Dec-2011,22-Dec-2011,27-Dec-2011,RIGHTS_ISSUE,Rights Issue,5 : 4
7086,19-Oct-2006,10-Nov-2006,14-Nov-2006,CONSOLIDATION,Others,1 : 1
7086,17-Nov-2000,18-Dec-2000,15-Jan-2001,DIVIDEND,Final Dividend,RM 0.1
2488,31-May-2018,18-Jun-2018,28-Jun-2018,DIVIDEND,Second interim dividend,RM 0.068
2488,30-Nov-2017,15-Dec-2017,28-Dec-2017,DIVIDEND,First Interim Dividend,RM 0.085
2488,01-Sep-2017,14-Sep-2017,18-Sep-2017,CAPITAL_REPAYMENT,Others,1 : 1
2488,31-May-2017,14-Jun-2017,22-Jun-2017,DIVIDEND,Second interim dividend,RM 0.075
2488,29-Nov-2016,14-Dec-2016,30-Dec-2016,DIVIDEND,First Interim Dividend,RM 0.085
2488,26-May-2016,13-Jun-2016,30-Jun-2016,DIVIDEND,Second interim dividend,RM 0.065
2488,27-Nov-2015,11-Dec-2015,30-Dec-2015,DIVIDEND,First Interim Dividend,RM 0.0800
2488,27-May-2015,11-Jun-2015,30-Jun-2015,DIVIDEND,Second interim dividend,RM 0.0640
2488,26-Nov-2014,11-Dec-2014,30-Dec-2014,DIVIDEND,First Interim Dividend,RM 0.09
2488,22-May-2014,09-Jun-2014,26-Jun-2014,DIVIDEND,Special Dividend,RM 0.105
2488,03-Dec-2013,17-Dec-2013,31-Dec-2013,DIVIDEND,Second interim dividend,RM 0.115
2488,10-Jul-2013,25-Jul-2013,16-Aug-2013,DIVIDEND,First Interim Dividend,RM 0.075
2488,30-Jan-2013,18-Feb-2013,28-Feb-2013,DIVIDEND,Second interim dividend,RM 0.1
2488,20-Jul-2012,07-Aug-2012,28-Aug-2012,DIVIDEND,First Interim Dividend,RM 0.066
2488,20-Jan-2012,13-Feb-2012,28-Feb-2012,DIVIDEND,Second interim dividend,RM 0.077
2488,26-Jul-2011,10-Aug-2011,26-Aug-2011,DIVIDEND,First Interim Dividend,RM 0.056
2488,21-Jan-2011,11-Feb-2011,28-Feb-2011,DIVIDEND,Second interim dividend,RM 0.037
2488,28-Jul-2010,11-Aug-2010,27-Aug-2010,DIVIDEND,First Interim Dividend,RM 0.033
2488,11-Feb-2010,10-Mar-2010,26-Mar-2010,DIVIDEND,Second interim dividend,RM 0.051
2488,24-Jul-2009,10-Aug-2009,26-Aug-2009,DIVIDEND,First Interim Dividend,RM 0.013
2488,22-Jan-2009,13-Feb-2009,03-Mar-2009,DIVIDEND,Second interim dividend,RM 0.0375
2488,25-Jul-2008,11-Aug-2008,27-Aug-2008,DIVIDEND,First Interim Dividend,RM 0.025
