algorithm,ask,askSize,averageDailyVolume10Day,averageVolume,averageVolume10days,beta,bid,bidSize,circulatingSupply,currency,dayHigh,dayLow,dividendRate,dividendYield,exDividendDate,expireDate,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiveYearAvgDividendYield,forwardPE,fromCurrency,lastMarket,marketCap,maxAge,maxSupply,navPrice,open,openInterest,payoutRatio,previousClose,priceHint,priceToSalesTrailing12Months,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketVolume,startDate,strikePrice,symbol,totalAssets,tradeable,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE,twoHundredDayAverage,volume,volume24Hr,volumeAllCurrencies,yield,ytdReturn
,0.55,0,0,20433,0,,0.54,0,,MYR,0.55,0.53,,,-,-,1.1233333,1.74,0.53,,,,,,1,,,0.55,,,0.55,2,,0.55,0.53,0.55,0.55,131500,-,,0008.KL,,False,,,,1.122439,131500,,,,
,0.28,0,0,3000,0,,0.235,0,,MYR,0.25,0.235,,,-,-,0.27833334,0.355,0.235,,,,,,1,,,0.25,,,0.24,2,,0.25,0.235,0.25,0.24,80000,-,,0011.KL,,False,,,,0.28902438,80000,,,,
,0.945,0,0,73450,0,,0.94,0,,MYR,0.945,0.935,,,-,-,1.0166667,1.42,0.935,,,,,,1,,,0.94,,,0.94,2,,0.945,0.935,0.94,0.94,147300,-,,0012.KL,,False,,,,1.0321951,147300,,,,
,0.28,0,0,2753650,0,,0.275,0,,MYR,0.285,0.275,,,-,-,0.35833335,0.435,0.275,,,,,,1,,,0.28,,,0.28,3,,0.285,0.275,0.28,0.28,496600,-,,0023.KL,,False,,,,0.36738095,496600,,,,
,0.85,0,0,50100,0,,0.845,0,,MYR,0.85,0.825,,,-,-,0.39833334,0.85,0.355,,,,,,1,,,0.825,,,0.825,3,,0.85,0.825,0.825,0.825,4150200,-,,0035.KL,,False,,,,0.4,4150200,,,,
,0.25,0,0,2739950,0,,0.245,0,,MYR,0.25,0.245,,,-,-,0.27666667,0.325,0.245,,,,,,1,,,0.25,,,0.245,3,,0.25,0.245,0.25,0.245,1385000,-,,0037.KL,,False,,,,0.28166667,1385000,,,,
,0.675,0,0,815400,0,,0.665,0,,MYR,0.67,0.655,,,-,-,0.6383333,0.84,0.62,,,,,,1,,,0.655,,,0.655,3,,0.67,0.655,0.655,0.655,922600,-,,0049.KL,,False,,,,0.7022619,922600,,,,
,0.235,0,0,548200,0,,0.23,0,,MYR,0.235,0.23,,,-,-,0.31333333,0.47,0.23,,,,,,1,,,0.23,,,0.23,2,,0.235,0.23,0.23,0.23,185000,-,,0050.KL,,False,,,,0.3292683,185000,,,,
,0.18,0,0,120150,0,,0.175,0,,MYR,0.18,0.17,,,-,-,0.22,0.3,0.17,,,,,,1,,,0.17,,,0.17,2,,0.18,0.17,0.17,0.17,174100,-,,0054.KL,,False,,,,0.23392858,174100,,,,
,1.7,0,18000,8600,18000,,1.6,0,,MYR,1.7,1.7,,,-,-,1.6520001,1.85,1.6,,,,,,1,,,1.7,,,1.7,2,,1.7,1.7,1.7,1.7,13100,-,,0058.KL,,False,,,,1.7057657,13100,,,,
,0.465,0,2752100,755534,2752100,,0.46,0,,MYR,0.475,0.46,,,-,-,0.992,1.67,0.46,,,,,,1,,,0.47,,,0.465,3,,0.475,0.46,0.47,0.465,4607200,-,,0065.KL,,False,,,,1.314054,4607200,,,,
,0.43,0,407900,799154,407900,,0.42,0,,MYR,0.44,0.415,,,-,-,0.497,0.74,0.415,,,,,,1,,,0.435,,,0.43,2,,0.44,0.415,0.435,0.43,758400,-,,0078.KL,,False,,,,0.58274776,758400,,,,
,0.69,0,27500,36851,27500,,0.685,0,,MYR,0.7,0.69,,,-,-,0.672,0.90667,0.65,,,,,,1,,,0.7,,,0.71,2,,0.7,0.69,0.7,0.71,93000,-,,0089.KL,,False,,,,0.7449099,93000,,,,
,2.67,0,11600,106314,11600,,2.65,0,,MYR,2.67,2.65,,,-,-,2.476,2.95,2.22,,,,,,1,,,2.67,,,2.66,2,,2.67,2.65,2.67,2.66,21700,-,,0090.KL,,False,,,,2.5943244,21700,,,,
,5.7,0,61100,295891,61100,,5.58,0,,MYR,5.92,5.74,,,-,-,5.198,6.88,3.72,,,,,,1,,,5.85,,,5.87,2,,5.92,5.74,5.85,5.87,2576300,-,,0097.KL,,False,,,,5.886847,2576300,,,,
,1.91,0,224100,300805,224100,,1.9,0,,MYR,1.92,1.91,,,-,-,2.004,2.35,1.58,,,,,,1,,,1.92,,,1.92,2,,1.92,1.91,1.92,1.92,14900,-,,0099.KL,,False,,,,1.8097297,14900,,,,
,0.745,0,860000,230937,860000,,0.74,0,,MYR,0.745,0.745,,,-,-,0.75,0.92,0.73,,,,,,1,,,0.745,,,0.745,3,,0.745,0.745,0.745,0.745,71400,-,,0101.KL,,False,,,,0.80846846,71400,,,,
,0.095,0,140200,765728,140200,,0.09,0,,MYR,0.095,0.09,,,-,-,0.096,0.215,0.085,,,,,,1,,,0.09,,,0.095,3,,0.095,0.09,0.09,0.095,297400,-,,0105.KL,,False,,,,0.11504505,297400,,,,
,0.67,0,55100,38008,55100,,0.66,0,,MYR,0.67,0.67,,,-,-,0.654,0.98,0.62,,,,,,1,,,0.67,,,0.665,2,,0.67,0.67,0.67,0.665,10000,-,,0106.KL,,False,,,,0.7332883,10000,,,,
,1.24,0,5872200,2415037,5872200,,1.23,0,,MYR,1.25,1.2,,,-,-,0.998,1.25,0.67,,,,,,1,,,1.2,,,1.22,2,,1.25,1.2,1.2,1.22,1068600,-,,0108.KL,,False,,,,0.9226126,1068600,,,,
,0.295,0,179300,410897,179300,,0.285,0,,MYR,0.295,0.29,,,-,-,0.336,0.595,0.29,,,,,,1,,,0.29,,,0.285,3,,0.295,0.29,0.29,0.285,75800,-,,0112.KL,,False,,,,0.3913964,75800,,,,
,1.45,0,250400,383657,250400,,1.44,0,,MYR,1.45,1.43,,,-,-,1.388,2.05,1.05,,,,,,1,,,1.44,,,1.45,2,,1.45,1.43,1.44,1.45,82800,-,,0113.KL,,False,,,,1.5627027,82800,,,,
,1.01,0,16723000,12793202,16723000,,1.0,0,,MYR,1.03,0.995,,,-,-,2.622,3.03,0.995,,,,,,1,,,1.0,,,0.98,2,,1.03,0.995,1.0,0.98,40901500,-,,0138.KL,,False,,,,2.5356758,40901500,,,,
,0.73,0,28800,53080,28800,,0.69,0,,MYR,0.75,0.73,,,-,-,0.656,1.45,0.6,,,,,,1,,,0.75,,,0.745,2,,0.75,0.73,0.75,0.745,15000,-,,0146.KL,,False,,,,0.9734414,15000,,,,
,0.54,0,34000,3300,34000,,0.5,0,,MYR,0.54,0.54,,,-,-,0.57600003,0.735,0.48,,,,,,1,,,0.54,,,0.54,2,,0.54,0.54,0.54,0.54,10000,-,,0149.KL,,False,,,,0.5749099,10000,,,,
,0.515,0,0,38782,0,,0.49,0,,MYR,0.51,0.5,,,-,-,0.506,0.72121,0.47,,,,,,1,,,0.5,,,0.49,2,,0.51,0.5,0.5,0.49,22000,-,,0158.KL,,False,,,,0.5267117,22000,,,,
,2.31,0,10460500,11236547,10460500,,2.3,0,,MYR,2.37,2.27,,,-,-,1.802,3.82,1.66,,,,,,1,,,2.27,,,2.29,2,,2.37,2.27,2.27,2.29,13768200,-,,0166.KL,,False,,,,3.0045044,13768200,,,,
