symbol,date,amount,data,formatted_date,type
0001.KL,1465261200,0.004,0.004,2016-06-07,DIVIDEND
0002.KL,1488762000,0.02,0.02,2017-03-06,DIVIDEND
0002.KL,1514509200,0.02,0.02,2017-12-29,DIVIDEND
0002.KL,1514768400,0.02,0.02,2018-01-01,DIVIDEND
0007.KL,1363741200,0.01,0.01,2013-03-20,DIVIDEND
0007.KL,1380157200,0.006,0.006,2013-09-26,DIVIDEND
0008.KL,1370912400,0.02,0.02,2013-06-11,DIVIDEND
0008.KL,1399510800,0.02,0.02,2014-05-08,DIVIDEND
0008.KL,1431478800,0.02,0.02,2015-05-13,DIVIDEND
0008.KL,1463014800,0.02,0.02,2016-05-12,DIVIDEND
0008.KL,1494464400,0.02,0.02,2017-05-11,DIVIDEND
0010.KL,1383699600,0.0045,0.0045,2013-11-06,DIVIDEND
0011.KL,1370480400,0.006,0.006,2013-06-06,DIVIDEND
0011.KL,1401238800,0.0063,0.0063,2014-05-28,DIVIDEND
0011.KL,1433984400,0.0063,0.0063,2015-06-11,DIVIDEND
0011.KL,1436749200,0.0063,0.0063,2015-07-13,DIVIDEND
0011.KL,1441933200,0.0063,0.0063,2015-09-11,DIVIDEND
0011.KL,1465779600,0.0063,0.0063,2016-06-13,DIVIDEND
0011.KL,1473728400,0.0073,0.0073,2016-09-13,DIVIDEND
0011.KL,1497315600,0.008,0.008,2017-06-13,DIVIDEND
0011.KL,1505264400,0.008,0.008,2017-09-13,DIVIDEND
0012.KL,1387328400,0.012,0.012,2013-12-18,DIVIDEND
0012.KL,1418864400,0.014,0.014,2014-12-18,DIVIDEND
0012.KL,1450227600,0.014,0.014,2015-12-16,DIVIDEND
0012.KL,1480035600,0.018,0.018,2016-11-25,DIVIDEND
0012.KL,1511485200,0.018,0.018,2017-11-24,DIVIDEND
0023.KL,1435626000,0.01,0.01,2015-06-30,DIVIDEND
0023.KL,1464310800,0.01,0.01,2016-05-27,DIVIDEND
0023.KL,1496970000,0.005,0.005,2017-06-09,DIVIDEND
0024.KL,1409014800,0.0025,0.0025,2014-08-26,DIVIDEND
0024.KL,1417568400,0.0025,0.0025,2014-12-03,DIVIDEND
0024.KL,1506301200,0.001,0.001,2017-09-25,DIVIDEND
0025.KL,1385600400,0.003,0.003,2013-11-28,DIVIDEND
0025.KL,1481158800,0.0025,0.0025,2016-12-08,DIVIDEND
0028.KL,1496019600,0.005,0.005,2017-05-29,DIVIDEND
0032.KL,1381280400,0.015,0.015,2013-10-09,DIVIDEND
0032.KL,1421888400,0.011,0.011,2015-01-22,DIVIDEND
0032.KL,1447203600,0.002,0.002,2015-11-11,DIVIDEND
0035.KL,1406854800,0.0125,0.0125,2014-08-01,DIVIDEND
0035.KL,1440550800,0.015,0.015,2015-08-26,DIVIDEND
0035.KL,1469494800,0.02,0.02,2016-07-26,DIVIDEND
0035.KL,1503450000,0.02,0.02,2017-08-23,DIVIDEND
0037.KL,1406077200,0.0005,0.0005,2014-07-23,DIVIDEND
0037.KL,1406250000,0.0005,0.0005,2014-07-25,DIVIDEND
0037.KL,1410915600,0.0005,0.0005,2014-09-17,DIVIDEND
0037.KL,1435280400,0.002,0.002,2015-06-26,DIVIDEND
0037.KL,1459213200,0.0025,0.0025,2016-03-29,DIVIDEND
0037.KL,1467075600,0.0025,0.0025,2016-06-28,DIVIDEND
0037.KL,1490749200,0.003,0.003,2017-03-29,DIVIDEND
0037.KL,1497315600,0.003,0.003,2017-06-13,DIVIDEND
0039.KL,1496710800,0.01445,0.01445,2017-06-06,DIVIDEND
0040.KL,1366938000,0.005,0.005,2013-04-26,DIVIDEND
0040.KL,1380157200,0.005,0.005,2013-09-26,DIVIDEND
0040.KL,1395882000,0.005,0.005,2014-03-27,DIVIDEND
0040.KL,1411693200,0.005,0.005,2014-09-26,DIVIDEND
0040.KL,1427418000,0.005,0.005,2015-03-27,DIVIDEND
0040.KL,1443402000,0.005,0.005,2015-09-28,DIVIDEND
0040.KL,1459213200,0.005,0.005,2016-03-29,DIVIDEND
0040.KL,1475024400,0.005,0.005,2016-09-28,DIVIDEND
0041.KL,1380157200,0.02,0.02,2013-09-26,DIVIDEND
0048.KL,1390179600,0.04,0.04,2014-01-20,DIVIDEND
0049.KL,1386637200,0.004,0.004,2013-12-10,DIVIDEND
0049.KL,1418000400,0.006,0.006,2014-12-08,DIVIDEND
0049.KL,1449536400,0.007,0.007,2015-12-08,DIVIDEND
0049.KL,1481245200,0.007,0.007,2016-12-09,DIVIDEND
0049.KL,1512694800,0.008,0.008,2017-12-08,DIVIDEND
0050.KL,1378256400,0.005,0.005,2013-09-04,DIVIDEND
0050.KL,1410310800,0.003,0.003,2014-09-10,DIVIDEND
0050.KL,1441155600,0.006,0.006,2015-09-02,DIVIDEND
0050.KL,1472432400,0.002,0.002,2016-08-29,DIVIDEND
0050.KL,1487725200,0.003,0.003,2017-02-22,DIVIDEND
0051.KL,1364346000,0.015,0.015,2013-03-27,DIVIDEND
0053.KL,1401930000,0.02,0.02,2014-06-05,DIVIDEND
0053.KL,1492563600,0.02,0.02,2017-04-19,DIVIDEND
0054.KL,1372640400,0.004,0.004,2013-07-01,DIVIDEND
0054.KL,1381453200,0.005,0.005,2013-10-11,DIVIDEND
0054.KL,1404262800,0.006,0.006,2014-07-02,DIVIDEND
0054.KL,1417136400,0.004,0.004,2014-11-28,DIVIDEND
0054.KL,1434502800,0.004,0.004,2015-06-17,DIVIDEND
0054.KL,1473123600,0.003,0.003,2016-09-06,DIVIDEND
0054.KL,1509930000,0.003,0.003,2017-11-06,DIVIDEND
0056.KL,1373418000,0.01,0.01,2013-07-10,DIVIDEND
0056.KL,1404435600,0.01,0.01,2014-07-04,DIVIDEND
0056.KL,1433379600,0.01,0.01,2015-06-04,DIVIDEND
0056.KL,1467075600,0.005,0.005,2016-06-28,DIVIDEND
0058.KL,1362963600,0.0175,0.0175,2013-03-11,DIVIDEND
0058.KL,1370826000,0.035,0.035,2013-06-10,DIVIDEND
0058.KL,1378688400,0.0175,0.0175,2013-09-09,DIVIDEND
0058.KL,1386550800,0.0175,0.0175,2013-12-09,DIVIDEND
0058.KL,1394413200,0.0175,0.0175,2014-03-10,DIVIDEND
0058.KL,1403053200,0.0175,0.0175,2014-06-18,DIVIDEND
0058.KL,1405472400,0.005,0.005,2014-07-16,DIVIDEND
0058.KL,1409792400,0.0175,0.0175,2014-09-04,DIVIDEND
0058.KL,1418173200,0.0175,0.0175,2014-12-10,DIVIDEND
0058.KL,1425949200,0.0175,0.0175,2015-03-10,DIVIDEND
0058.KL,1433379600,0.00625,0.00625,2015-06-04,DIVIDEND
0058.KL,1435885200,0.0325,0.0325,2015-07-03,DIVIDEND
0058.KL,1441155600,0.00625,0.00625,2015-09-02,DIVIDEND
0058.KL,1449795600,0.00625,0.00625,2015-12-11,DIVIDEND
0058.KL,1457398800,0.00625,0.00625,2016-03-08,DIVIDEND
0058.KL,1465520400,0.01,0.01,2016-06-10,DIVIDEND
0058.KL,1499389200,0.02,0.02,2017-07-07,DIVIDEND
0059.KL,1372122000,0.005,0.005,2013-06-25,DIVIDEND
0059.KL,1404867600,0.005,0.005,2014-07-09,DIVIDEND
0059.KL,1419296400,0.005,0.005,2014-12-23,DIVIDEND
0059.KL,1433120400,0.005,0.005,2015-06-01,DIVIDEND
0059.KL,1465261200,0.006,0.006,2016-06-07,DIVIDEND
0064.KL,1394672400,0.002,0.002,2014-03-13,DIVIDEND
0065.KL,1371171600,0.015,0.015,2013-06-14,DIVIDEND
0065.KL,1379379600,0.025,0.025,2013-09-17,DIVIDEND
0065.KL,1394586000,0.015,0.015,2014-03-12,DIVIDEND
0065.KL,1417654800,0.01,0.01,2014-12-04,DIVIDEND
0065.KL,1425862800,0.01,0.01,2015-03-09,DIVIDEND
0065.KL,1433898000,0.01,0.01,2015-06-10,DIVIDEND
0065.KL,1449190800,0.01,0.01,2015-12-04,DIVIDEND
0065.KL,1457485200,0.01,0.01,2016-03-09,DIVIDEND
0065.KL,1465952400,0.01,0.01,2016-06-15,DIVIDEND
0065.KL,1489021200,0.01,0.01,2017-03-09,DIVIDEND
0065.KL,1496192400,0.015,0.015,2017-05-31,DIVIDEND
0078.KL,1387501200,0.01125,0.01125,2013-12-20,DIVIDEND
0078.KL,1420506000,0.01125,0.01125,2015-01-06,DIVIDEND
0078.KL,1451955600,0.01,0.01,2016-01-05,DIVIDEND
0078.KL,1484269200,0.01,0.01,2017-01-13,DIVIDEND
0078.KL,1515546000,0.0025,0.0025,2018-01-10,DIVIDEND
0083.KL,1364346000,0.02,0.02,2013-03-27,DIVIDEND
0083.KL,1387760400,0.01,0.01,2013-12-23,DIVIDEND
0083.KL,1482368400,0.01,0.01,2016-12-22,DIVIDEND
0083.KL,1490749200,0.01,0.01,2017-03-29,DIVIDEND
0083.KL,1492736400,0.0075,0.0075,2017-04-21,DIVIDEND
0083.KL,1497574800,0.0075,0.0075,2017-06-16,DIVIDEND
0084.KL,1369184400,0.005,0.005,2013-05-22,DIVIDEND
0084.KL,1400720400,0.005,0.005,2014-05-22,DIVIDEND
0084.KL,1464829200,0.005,0.005,2016-06-02,DIVIDEND
0084.KL,1496019600,0.005,0.005,2017-05-29,DIVIDEND
0084.KL,1504832400,0.005,0.005,2017-09-08,DIVIDEND
0089.KL,1372986000,0.005,0.005,2013-07-05,DIVIDEND
0089.KL,1404435600,0.005,0.005,2014-07-04,DIVIDEND
0089.KL,1407200400,0.005,0.005,2014-08-05,DIVIDEND
0089.KL,1435885200,0.0025,0.0025,2015-07-03,DIVIDEND
0089.KL,1448586000,0.005,0.005,2015-11-27,DIVIDEND
0089.KL,1464742800,0.005,0.005,2016-06-01,DIVIDEND
0089.KL,1496365200,0.005,0.005,2017-06-02,DIVIDEND
0089.KL,1503968400,0.006,0.006,2017-08-29,DIVIDEND
0090.KL,1363222800,0.02,0.02,2013-03-14,DIVIDEND
0090.KL,1378774800,0.01,0.01,2013-09-10,DIVIDEND
0090.KL,1394758800,0.02,0.02,2014-03-14,DIVIDEND
0090.KL,1410397200,0.02,0.02,2014-09-11,DIVIDEND
0090.KL,1426467600,0.05,0.05,2015-03-16,DIVIDEND
0090.KL,1443661200,0.02,0.02,2015-10-01,DIVIDEND
0090.KL,1449536400,0.02,0.02,2015-12-08,DIVIDEND
0090.KL,1458090000,0.04,0.04,2016-03-16,DIVIDEND
0090.KL,1473728400,0.03,0.03,2016-09-13,DIVIDEND
0090.KL,1481158800,0.03,0.03,2016-12-08,DIVIDEND
0090.KL,1489971600,0.02,0.02,2017-03-20,DIVIDEND
0090.KL,1505264400,0.03,0.03,2017-09-13,DIVIDEND
0090.KL,1513213200,0.02,0.02,2017-12-14,DIVIDEND
0091.KL,1375059600,0.0025,0.0025,2013-07-29,DIVIDEND
0092.KL,1365037200,0.01,0.01,2013-04-04,DIVIDEND
0093.KL,1417136400,0.01,0.01,2014-11-28,DIVIDEND
0093.KL,1441760400,0.01,0.01,2015-09-09,DIVIDEND
0093.KL,1481158800,0.01,0.01,2016-12-08,DIVIDEND
0095.KL,1440032400,0.002,0.002,2015-08-20,DIVIDEND
0097.KL,1358384400,0.01,0.01,2013-01-17,DIVIDEND
0097.KL,1372035600,0.005,0.005,2013-06-24,DIVIDEND
0097.KL,1388106000,0.01,0.01,2013-12-27,DIVIDEND
0097.KL,1403744400,0.005,0.005,2014-06-26,DIVIDEND
0097.KL,1419814800,0.02,0.02,2014-12-29,DIVIDEND
0097.KL,1435280400,0.005,0.005,2015-06-26,DIVIDEND
0097.KL,1451350800,0.015,0.015,2015-12-29,DIVIDEND
0097.KL,1467075600,0.005,0.005,2016-06-28,DIVIDEND
0097.KL,1482886800,0.025,0.025,2016-12-28,DIVIDEND
0097.KL,1498611600,0.04,0.04,2017-06-28,DIVIDEND
0097.KL,1514336400,0.015,0.015,2017-12-27,DIVIDEND
0099.KL,1362531600,0.01,0.01,2013-03-06,DIVIDEND
0099.KL,1378774800,0.02,0.02,2013-09-10,DIVIDEND
0099.KL,1385600400,0.01,0.01,2013-11-28,DIVIDEND
0099.KL,1393981200,0.02,0.02,2014-03-05,DIVIDEND
0099.KL,1401930000,0.02,0.02,2014-06-05,DIVIDEND
0099.KL,1410224400,0.02,0.02,2014-09-09,DIVIDEND
0099.KL,1417050000,0.0125,0.0125,2014-11-27,DIVIDEND
0099.KL,1424653200,0.02,0.02,2015-02-23,DIVIDEND
0099.KL,1433379600,0.02,0.02,2015-06-04,DIVIDEND
0099.KL,1441242000,0.02,0.02,2015-09-03,DIVIDEND
0099.KL,1449709200,0.02,0.02,2015-12-10,DIVIDEND
0099.KL,1457398800,0.02,0.02,2016-03-08,DIVIDEND
0099.KL,1464915600,0.02,0.02,2016-06-03,DIVIDEND
0099.KL,1473296400,0.03,0.03,2016-09-08,DIVIDEND
0099.KL,1479344400,0.02,0.02,2016-11-17,DIVIDEND
0099.KL,1489107600,0.02,0.02,2017-03-10,DIVIDEND
0099.KL,1496278800,0.02,0.02,2017-06-01,DIVIDEND
0099.KL,1504832400,0.03,0.03,2017-09-08,DIVIDEND
0100.KL,1474506000,0.006,0.006,2016-09-22,DIVIDEND
0100.KL,1506992400,0.006,0.006,2017-10-03,DIVIDEND
0101.KL,1383699600,0.003,0.003,2013-11-06,DIVIDEND
0101.KL,1414112400,0.003,0.003,2014-10-24,DIVIDEND
0101.KL,1445821200,0.0014,0.0014,2015-10-26,DIVIDEND
0101.KL,1485392400,0.00154,0.00154,2017-01-26,DIVIDEND
0101.KL,1518397200,0.00167,0.00167,2018-02-12,DIVIDEND
0105.KL,1362358800,0.0025,0.0025,2013-03-04,DIVIDEND
0105.KL,1379379600,0.0025,0.0025,2013-09-17,DIVIDEND
0105.KL,1388451600,0.0025,0.0025,2013-12-31,DIVIDEND
0105.KL,1409274000,0.005,0.005,2014-08-29,DIVIDEND
0105.KL,1410742800,0.0025,0.0025,2014-09-15,DIVIDEND
0105.KL,1443574800,0.005,0.005,2015-09-30,DIVIDEND
0105.KL,1464224400,0.005,0.005,2016-05-26,DIVIDEND
0105.KL,1495760400,0.005,0.005,2017-05-26,DIVIDEND
0106.KL,1361494800,0.02,0.02,2013-02-22,DIVIDEND
0106.KL,1386291600,0.02,0.02,2013-12-06,DIVIDEND
0106.KL,1393462800,0.02,0.02,2014-02-27,DIVIDEND
0106.KL,1425344400,0.015,0.015,2015-03-03,DIVIDEND
0106.KL,1457398800,0.02,0.02,2016-03-08,DIVIDEND
0106.KL,1481590800,0.03,0.03,2016-12-13,DIVIDEND
0106.KL,1512954000,0.03,0.03,2017-12-11,DIVIDEND
0108.KL,1395795600,0.015,0.015,2014-03-26,DIVIDEND
0108.KL,1410397200,0.007,0.007,2014-09-11,DIVIDEND
0108.KL,1441933200,0.01,0.01,2015-09-11,DIVIDEND
0108.KL,1457571600,0.01,0.01,2016-03-10,DIVIDEND
0108.KL,1473814800,0.01,0.01,2016-09-14,DIVIDEND
0108.KL,1502413200,0.01,0.01,2017-08-11,DIVIDEND
