algorithm,ask,askSize,averageDailyVolume10Day,averageVolume,averageVolume10days,beta,bid,bidSize,circulatingSupply,currency,dayHigh,dayLow,dividendRate,dividendYield,exDividendDate,expireDate,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiveYearAvgDividendYield,forwardPE,fromCurrency,lastMarket,marketCap,maxAge,maxSupply,navPrice,open,openInterest,payoutRatio,previousClose,priceHint,priceToSalesTrailing12Months,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketVolume,startDate,strikePrice,symbol,totalAssets,tradeable,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE,twoHundredDayAverage,volume,volume24Hr,volumeAllCurrencies,yield,ytdReturn
,0.52,0,0,20433,0,,0.51,0,,MYR,0.51,0.505,,,-,-,1.1233333,1.74,0.505,,,,,,1,,,0.505,,,0.505,2,,0.51,0.505,0.505,0.505,24000,-,,0008.KL,,False,,,,1.1535484,24000,,,,
,0.27,0,0,3000,0,,0.225,0,,MYR,0.23,0.23,,,-,-,0.27833334,0.355,0.23,,,,,,1,,,0.23,,,0.23,2,,0.23,0.23,0.23,0.23,20000,-,,0011.KL,,False,,,,0.28870967,20000,,,,
,0.955,0,0,73450,0,,0.925,0,,MYR,0.93,0.93,,,-,-,1.0166667,1.42,0.93,,,,,,1,,,0.93,,,0.93,2,,0.93,0.93,0.93,0.93,33500,-,,0012.KL,,False,,,,1.0281249,33500,,,,
,0.31,0,0,2116760,0,,0.305,0,,MYR,0.32,0.265,,,-,-,0.35833335,0.435,0.265,,,,,,1,,,0.275,,,0.275,2,,0.32,0.265,0.275,0.275,17706500,-,,0023.KL,,False,,,,0.37,17706500,,,,
,0.87,0,0,50100,0,,0.865,0,,MYR,0.885,0.83,,,-,-,0.39833334,0.885,0.355,,,,,,1,,,0.84,,,0.84,3,,0.885,0.83,0.84,0.84,9482800,-,,0035.KL,,False,,,,0.4018182,9482800,,,,
,0.255,0,0,2739950,0,,0.25,0,,MYR,0.26,0.25,,,-,-,0.27666667,0.325,0.25,,,,,,1,,,0.255,,,0.245,3,,0.26,0.25,0.255,0.245,22243100,-,,0037.KL,,False,,,,0.28560606,22243100,,,,
,0.65,0,0,815400,0,,0.645,0,,MYR,0.66,0.635,,,-,-,0.6383333,0.84,0.62,,,,,,1,,,0.635,,,0.65,2,,0.66,0.635,0.635,0.65,260300,-,,0049.KL,,False,,,,0.6976563,260300,,,,
,0.265,0,0,548200,0,,0.26,0,,MYR,0.275,0.225,,,-,-,0.31333333,0.47,0.225,,,,,,1,,,0.23,,,0.23,3,,0.275,0.225,0.23,0.23,3775200,-,,0050.KL,,False,,,,0.33064517,3775200,,,,
,0.17,0,0,120150,0,,0.165,0,,MYR,0.175,0.165,,,-,-,0.22,0.3,0.165,,,,,,1,,,0.165,,,0.165,2,,0.175,0.165,0.165,0.165,940700,-,,0054.KL,,False,,,,0.2328125,940700,,,,
,1.68,0,18000,4345,18000,,1.67,0,,MYR,1.68,1.68,,,-,-,1.62,1.85,1.6,,,,,,1,,,1.68,,,1.68,2,,1.68,1.68,1.68,1.68,13100,-,,0058.KL,,False,,,,1.7012872,13100,,,,
,0.405,0,2752100,944979,2752100,,0.4,0,,MYR,0.405,0.37,,,-,-,0.98,1.67,0.37,,,,,,1,,,0.4,,,0.4,2,,0.405,0.37,0.4,0.4,4863500,-,,0065.KL,,False,,,,1.3000971,4863500,,,,
,0.415,0,407900,711379,407900,,0.41,0,,MYR,0.42,0.41,,,-,-,0.49,0.74,0.41,,,,,,1,,,0.41,,,0.41,3,,0.42,0.41,0.41,0.41,240500,-,,0078.KL,,False,,,,0.58108914,240500,,,,
