symbol,name,amount,year
0008.KL,WILLOWGLEN MSC BHD,0.02,2015
0008.KL,WILLOWGLEN MSC BHD,0.02,2016
0008.KL,WILLOWGLEN MSC BHD,0.02,2017
0011.KL,BRITE-TECH BHD,0.0189,2015
0011.KL,BRITE-TECH BHD,0.0136,2016
0011.KL,BRITE-TECH BHD,0.016,2017
0012.KL,THREE-A RESOURCES BHD,0.014,2015
0012.KL,THREE-A RESOURCES BHD,0.018,2016
0012.KL,THREE-A RESOURCES BHD,0.018,2017
0023.KL,IFCA MSC BHD,0.01,2015
0023.KL,IFCA MSC BHD,0.01,2016
0023.KL,IFCA MSC BHD,0.005,2017
0035.KL,OPCOM HOLDINGS BHD,0.015,2015
0035.KL,OPCOM HOLDINGS BHD,0.02,2016
0035.KL,OPCOM HOLDINGS BHD,0.02,2017
0037.KL,RGB INTERNATIONAL BHD,0.002,2015
0037.KL,RGB INTERNATIONAL BHD,0.005,2016
0037.KL,RGB INTERNATIONAL BHD,0.006,2017
0049.KL,OCEANCASH PACIFIC BHD,0.007,2015
0049.KL,OCEANCASH PACIFIC BHD,0.007,2016
0049.KL,OCEANCASH PACIFIC BHD,0.008,2017
0050.KL,SYSTECH BHD,0.006,2015
0050.KL,SYSTECH BHD,0.002,2016
0050.KL,SYSTECH BHD,0.003,2017
0054.KL,KARYON INDUSTRIES BHD,0.004,2015
0054.KL,KARYON INDUSTRIES BHD,0.003,2016
0054.KL,KARYON INDUSTRIES BHD,0.003,2017
0058.KL,JCBNEXT BERHAD,0.06875,2015
0058.KL,JCBNEXT BERHAD,0.01625,2016
0058.KL,JCBNEXT BERHAD,0.02,2017
0065.KL,EXCEL FORCE MSC BHD,0.03,2015
0065.KL,EXCEL FORCE MSC BHD,0.02,2016
0065.KL,EXCEL FORCE MSC BHD,0.025,2017
0078.KL,GD EXPRESS CARRIER BHD,0.01125,2015
0078.KL,GD EXPRESS CARRIER BHD,0.01,2016
0078.KL,GD EXPRESS CARRIER BHD,0.01,2017
0078.KL,GD EXPRESS CARRIER BHD,0.0025,2018
0089.KL,TEX CYCLE TECHNOLOGY (M) BHD,0.0075,2015
0089.KL,TEX CYCLE TECHNOLOGY (M) BHD,0.005,2016
0089.KL,TEX CYCLE TECHNOLOGY (M) BHD,0.011,2017
0090.KL,ELSOFT RESEARCH BHD,0.09,2015
0090.KL,ELSOFT RESEARCH BHD,0.1,2016
0090.KL,ELSOFT RESEARCH BHD,0.07,2017
0097.KL,VITROX CORPORATION BHD,0.02,2015
0097.KL,VITROX CORPORATION BHD,0.03,2016
0097.KL,VITROX CORPORATION BHD,0.055,2017
0099.KL,SCICOM (MSC) BHD,0.08,2015
0099.KL,SCICOM (MSC) BHD,0.09,2016
0099.KL,SCICOM (MSC) BHD,0.07,2017
0101.KL,TMC LIFE SCIENCES BHD,0.0014,2015
0101.KL,TMC LIFE SCIENCES BHD,0.00154,2017
0101.KL,TMC LIFE SCIENCES BHD,0.00167,2018
0105.KL,ASIA POLY HOLDINGS BHD,0.005,2015
0105.KL,ASIA POLY HOLDINGS BHD,0.005,2016
0105.KL,ASIA POLY HOLDINGS BHD,0.005,2017
0106.KL,REXIT BHD,0.015,2015
0106.KL,REXIT BHD,0.05,2016
0106.KL,REXIT BHD,0.03,2017
0108.KL,N2N CONNECT BHD,0.01,2015
0108.KL,N2N CONNECT BHD,0.02,2016
0108.KL,N2N CONNECT BHD,0.01,2017
0112.KL,MIKRO MSC BERHAD,0.01,2015
0112.KL,MIKRO MSC BERHAD,0.011,2016
0112.KL,MIKRO MSC BERHAD,0.016,2017
0113.KL,MMS VENTURES BHD,0.02,2015
0113.KL,MMS VENTURES BHD,0.02,2016
0113.KL,MMS VENTURES BHD,0.03,2017
0138.KL,MY E.G. SERVICES BHD,0.025,2015
0138.KL,MY E.G. SERVICES BHD,0.032,2016
0138.KL,MY E.G. SERVICES BHD,0.01,2017
0138.KL,MY E.G. SERVICES BHD,0.012,2018
0146.KL,JF TECHNOLOGY BHD,0.01,2015
0146.KL,JF TECHNOLOGY BHD,0.005,2016
0146.KL,JF TECHNOLOGY BHD,0.02,2017
0149.KL,FIBON BERHAD,0.021,2015
0149.KL,FIBON BERHAD,0.0125,2016
0149.KL,FIBON BERHAD,0.011,2017
0158.KL,SCC HOLDINGS BERHAD,0.05,2015
0158.KL,SCC HOLDINGS BERHAD,0.05,2016
0158.KL,SCC HOLDINGS BERHAD,0.116,2017
0166.KL,INARI AMERTRON BERHAD,0.085,2015
0166.KL,INARI AMERTRON BERHAD,0.079,2016
0166.KL,INARI AMERTRON BERHAD,0.086,2017
0168.KL,BOILERMECH HOLDINGS BHD,0.0175,2015
0168.KL,BOILERMECH HOLDINGS BHD,0.015,2016
0168.KL,BOILERMECH HOLDINGS BHD,0.015,2017
0171.KL,PETERLABS HOLDINGS BHD,0.005,2015
0171.KL,PETERLABS HOLDINGS BHD,0.014,2016
0171.KL,PETERLABS HOLDINGS BHD,0.006,2018
0820EA.KL,FTSE Bursa Malaysia KLCI ETF,0,2015
0820EA.KL,FTSE Bursa Malaysia KLCI ETF,0.033,2016
0820EA.KL,FTSE Bursa Malaysia KLCI ETF,0.033,2017
0821EA.KL,DJIM25,0.033,2015
0821EA.KL,DJIM25,0.0237,2016
0821EA.KL,DJIM25,0.0223,2017
0821EA.KL,DJIM25,0.0239,2018
0822EA.KL,CIMB FTSE Asean 40 Malaysia Fund,0,2015
0822EA.KL,CIMB FTSE Asean 40 Malaysia Fund,0.0656,2016
0822EA.KL,CIMB FTSE Asean 40 Malaysia Fund,0.0739,2017
0824EA.KL,MyETF MSCI Malaysia Islamic Dividend,0.0315,2016
0824EA.KL,MyETF MSCI Malaysia Islamic Dividend,0.0152,2017
0824EA.KL,MyETF MSCI Malaysia Islamic Dividend,0.0281,2018
0825EA.KL,MyETF MSCI SEA ISLAMIC DIVIDEND,0.0215,2016
0825EA.KL,MyETF MSCI SEA ISLAMIC DIVIDEND,0.0234,2017
0825EA.KL,MyETF MSCI SEA ISLAMIC DIVIDEND,0.0151,2018
1007.KL,Amcorp Properties Berhad,0.03,2015
1007.KL,Amcorp Properties Berhad,0.03,2016
1007.KL,Amcorp Properties Berhad,0.03,2017
1007PA.KL,Amcorp Properties Berhad,0.02,2015
1007PA.KL,Amcorp Properties Berhad,0.02,2016
1007PA.KL,Amcorp Properties Berhad,0.02,2017
1015.KL,AMMB Holdings Berhad,0.203,2015
1015.KL,AMMB Holdings Berhad,0.155,2016
1015.KL,AMMB Holdings Berhad,0.176,2017
1023.KL,CIMB Group Holdings Berhad,0.08,2015
1023.KL,CIMB Group Holdings Berhad,0.19,2016
1023.KL,CIMB Group Holdings Berhad,0.25,2017
1058.KL,Manulife Holdings Berhad,0.1,2015
1058.KL,Manulife Holdings Berhad,0.09,2016
