date,price,open,high,low,volume,change_percent
"Oct 12, 2018",0.250,0.245,0.255,0.245,790.60K,2.04%
"Oct 11, 2018",0.245,0.250,0.250,0.240,1.54M,-3.92%
"Oct 10, 2018",0.255,0.260,0.265,0.255,1.54M,-3.77%
"Oct 09, 2018",0.265,0.265,0.265,0.260,191.00K,0.00%
"Oct 08, 2018",0.265,0.265,0.270,0.265,795.30K,0.00%
"Oct 05, 2018",0.265,0.265,0.265,0.260,1.16M,0.00%
"Oct 04, 2018",0.265,0.270,0.270,0.265,372.40K,-1.85%
"Oct 03, 2018",0.270,0.275,0.275,0.270,406.10K,-1.82%
"Oct 02, 2018",0.275,0.270,0.280,0.270,657.20K,1.85%
"Oct 01, 2018",0.270,0.275,0.275,0.270,359.80K,-1.82%
"Sep 28, 2018",0.275,0.275,0.280,0.270,727.70K,0.00%
"Sep 27, 2018",0.275,0.280,0.280,0.270,845.30K,-1.79%
"Sep 26, 2018",0.280,0.280,0.290,0.270,2.95M,0.00%
"Sep 25, 2018",0.280,0.275,0.280,0.265,767.20K,1.82%
"Sep 24, 2018",0.275,0.275,0.280,0.270,785.50K,0.00%
"Sep 21, 2018",0.275,0.265,0.275,0.265,2.69M,3.77%
"Sep 20, 2018",0.265,0.270,0.270,0.260,958.60K,-1.85%
"Sep 19, 2018",0.270,0.260,0.275,0.260,1.45M,3.85%
"Sep 18, 2018",0.260,0.265,0.265,0.260,196.00K,-1.89%
"Sep 14, 2018",0.265,0.270,0.270,0.265,2.02M,0.00%
"Sep 13, 2018",0.265,0.265,0.270,0.260,1.35M,1.92%
"Sep 12, 2018",0.260,0.275,0.275,0.260,902.00K,-5.45%
"Sep 07, 2018",0.275,0.275,0.275,0.275,380.80K,1.85%
"Sep 06, 2018",0.270,0.270,0.285,0.270,3.06M,1.89%
"Sep 05, 2018",0.265,0.270,0.270,0.260,1.52M,0.00%
"Sep 04, 2018",0.265,0.260,0.270,0.260,1.77M,1.92%
"Sep 03, 2018",0.260,0.260,0.265,0.260,733.60K,0.00%
"Aug 30, 2018",0.260,0.265,0.270,0.260,804.00K,-1.89%
"Aug 29, 2018",0.265,0.270,0.270,0.265,2.15M,-1.85%
"Aug 28, 2018",0.270,0.275,0.280,0.270,1.37M,-3.57%
"Aug 27, 2018",0.280,0.280,0.285,0.275,1.65M,0.00%
"Aug 24, 2018",0.280,0.285,0.290,0.275,1.03M,-3.45%
"Aug 23, 2018",0.290,0.295,0.295,0.275,5.79M,-1.69%
"Aug 21, 2018",0.295,0.305,0.305,0.295,6.15M,-6.35%
"Aug 20, 2018",0.315,0.325,0.325,0.315,2.12M,-1.56%
"Aug 17, 2018",0.320,0.325,0.330,0.320,2.08M,-1.54%
"Aug 16, 2018",0.325,0.335,0.335,0.320,3.67M,-2.99%
