"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 31, 2018","7.34","7.27","7.35","7.19","4.22M","2.23%"
"Oct 30, 2018","7.18","7.25","7.26","7.16","2.15M","-0.97%"
"Oct 29, 2018","7.25","7.22","7.25","7.16","5.35M","0.83%"
"Oct 26, 2018","7.19","7.27","7.27","7.16","1.42M","-0.42%"
"Oct 25, 2018","7.22","7.35","7.35","7.17","3.91M","-2.43%"
"Oct 24, 2018","7.40","7.42","7.47","7.35","3.68M","0.27%"
"Oct 23, 2018","7.38","7.49","7.49","7.32","2.12M","-1.07%"
"Oct 22, 2018","7.46","7.45","7.54","7.44","2.54M","0.27%"
"Oct 19, 2018","7.44","7.29","7.48","7.28","3.24M","1.78%"
"Oct 18, 2018","7.31","7.29","7.37","7.29","3.82M","0.27%"
"Oct 17, 2018","7.29","7.30","7.39","7.27","2.80M","0.41%"
"Oct 16, 2018","7.26","7.20","7.26","7.14","3.72M","1.40%"
"Oct 15, 2018","7.16","7.23","7.33","7.16","3.52M","-0.42%"
"Oct 12, 2018","7.19","7.16","7.34","7.14","8.29M","0.70%"
"Oct 11, 2018","7.14","7.23","7.41","7.10","11.72M","-2.19%"
"Oct 10, 2018","7.30","7.84","7.84","7.25","16.66M","-5.93%"
"Oct 09, 2018","7.76","7.80","7.87","7.76","2.22M","-0.64%"
"Oct 08, 2018","7.81","7.80","7.87","7.80","2.02M","0.13%"
"Oct 05, 2018","7.80","7.81","7.83","7.77","2.66M","-0.13%"
"Oct 04, 2018","7.81","7.90","7.90","7.80","4.12M","-0.51%"
"Oct 03, 2018","7.85","7.97","8.02","7.82","2.89M","-1.13%"
"Oct 02, 2018","7.94","7.78","7.99","7.78","4.06M","2.19%"
"Oct 01, 2018","7.77","7.83","7.87","7.76","3.08M","-0.51%"
"Sep 28, 2018","7.81","7.89","7.98","7.80","6.99M","-0.89%"
"Sep 27, 2018","7.88","7.89","7.95","7.88","3.59M","-0.13%"
"Sep 26, 2018","7.89","7.92","7.95","7.89","4.80M","-0.50%"
"Sep 25, 2018","7.93","7.90","7.99","7.88","2.69M","0.63%"
"Sep 24, 2018","7.88","8.00","8.06","7.85","3.36M","-1.50%"
"Sep 21, 2018","8.00","8.00","8.01","7.95","9.10M","0.25%"
"Sep 20, 2018","7.98","8.00","8.02","7.97","8.27M","-0.13%"
"Sep 19, 2018","7.99","7.99","8.00","7.96","6.14M","0.50%"
"Sep 18, 2018","7.95","8.00","8.01","7.95","4.73M","-0.75%"
"Sep 14, 2018","8.01","8.00","8.05","7.98","5.05M","-0.25%"
"Sep 13, 2018","8.03","8.03","8.09","7.99","12.92M","0.75%"
"Sep 12, 2018","7.97","8.28","8.29","7.89","13.57M","-2.80%"
"Sep 07, 2018","8.20","8.17","8.28","8.16","3.66M","0.74%"
"Sep 06, 2018","8.14","8.28","8.33","8.10","5.18M","-0.97%"
"Sep 05, 2018","8.22","8.40","8.45","8.22","5.89M","-2.03%"
"Sep 04, 2018","8.39","8.42","8.48","8.37","3.32M","-0.36%"
"Sep 03, 2018","8.42","8.62","8.63","8.42","3.70M","-2.32%"
"Aug 30, 2018","8.62","8.70","8.72","8.62","7.25M","-0.92%"
"Aug 29, 2018","8.70","8.71","8.71","8.63","1.62M","0.35%"
"Aug 28, 2018","8.67","8.66","8.75","8.65","2.43M","-0.23%"
"Aug 27, 2018","8.69","8.74","8.74","8.64","810.40K","-0.57%"
"Aug 24, 2018","8.74","8.60","8.74","8.52","2.24M","1.16%"
"Aug 23, 2018","8.64","8.61","8.66","8.55","2.45M","0.23%"
"Aug 21, 2018","8.62","8.68","8.69","8.62","1.41M","-0.92%"
"Aug 20, 2018","8.70","8.61","8.74","8.60","3.50M","1.05%"
"Aug 17, 2018","8.61","8.59","8.65","8.57","4.62M","0.70%"
"Aug 16, 2018","8.55","8.61","8.61","8.54","6.53M","-0.70%"
"Aug 15, 2018","8.61","8.67","8.71","8.59","2.27M","-1.15%"
"Aug 14, 2018","8.71","8.69","8.74","8.66","3.58M","0.58%"
"Aug 13, 2018","8.66","8.73","8.75","8.66","5.05M","-1.03%"
"Aug 10, 2018","8.75","8.82","8.82","8.72","1.64M","-0.57%"
"Aug 09, 2018","8.80","8.74","8.83","8.71","6.35M","1.15%"
"Aug 08, 2018","8.70","8.70","8.75","8.69","6.65M","0.00%"
"Aug 07, 2018","8.70","8.71","8.71","8.67","3.49M","0.12%"
"Aug 06, 2018","8.69","8.70","8.72","8.66","1.32M","-0.11%"
"Aug 03, 2018","8.70","8.70","8.72","8.68","2.34M","-0.11%"
"Aug 02, 2018","8.71","8.74","8.74","8.67","18.47M","0.00%"
"Aug 01, 2018","8.71","8.75","8.77","8.68","3.61M","-0.46%"
"Jul 31, 2018","8.75","8.69","8.75","8.68","4.58M","0.46%"
"Jul 30, 2018","8.71","8.75","8.77","8.68","1.83M","0.11%"
"Jul 27, 2018","8.70","8.67","8.78","8.64","3.29M","0.93%"
"Jul 26, 2018","8.62","8.70","8.72","8.62","4.49M","-0.81%"
"Jul 25, 2018","8.69","8.78","8.78","8.69","5.90M","-1.03%"
"Jul 24, 2018","8.78","8.81","8.83","8.74","2.78M","-0.34%"
"Jul 23, 2018","8.81","8.84","8.84","8.76","1.75M","-0.45%"
"Jul 20, 2018","8.85","8.81","8.85","8.70","2.29M","0.34%"
"Jul 19, 2018","8.82","8.76","8.85","8.73","2.77M","0.80%"
"Jul 18, 2018","8.75","8.69","8.75","8.67","1.98M","0.81%"
"Jul 17, 2018","8.68","8.60","8.68","8.60","1.75M","0.23%"
"Jul 16, 2018","8.66","8.62","8.66","8.56","737.10K","0.46%"
"Jul 13, 2018","8.62","8.58","8.63","8.53","4.07M","1.17%"
"Jul 12, 2018","8.52","8.64","8.64","8.52","6.47M","-0.93%"
"Jul 11, 2018","8.60","8.48","8.65","8.43","4.09M","1.18%"
"Jul 10, 2018","8.50","8.43","8.50","8.42","3.62M","1.55%"
"Jul 09, 2018","8.37","8.32","8.37","8.30","2.69M","0.84%"
"Jul 06, 2018","8.30","8.43","8.44","8.30","2.13M","-1.66%"
"Jul 05, 2018","8.44","8.40","8.44","8.36","1.60M","0.48%"
"Jul 04, 2018","8.40","8.38","8.45","8.37","2.14M","0.24%"
"Jul 03, 2018","8.38","8.44","8.46","8.36","2.09M","0.24%"
"Jul 02, 2018","8.36","8.48","8.49","8.31","3.25M","-0.59%"
"Jun 29, 2018","8.41","8.35","8.57","8.35","8.24M","0.36%"
"Jun 28, 2018","8.38","8.40","8.45","8.38","2.82M","-0.24%"
"Jun 27, 2018","8.40","8.50","8.54","8.40","3.14M","-0.83%"
"Jun 26, 2018","8.47","8.50","8.50","8.42","4.06M","0.24%"
"Jun 25, 2018","8.45","8.58","8.61","8.45","3.92M","-1.05%"
"Jun 22, 2018","8.54","8.57","8.65","8.52","2.53M","-0.35%"
"Jun 21, 2018","8.57","8.70","8.70","8.57","5.23M","-0.23%"
"Jun 20, 2018","8.59","8.58","8.70","8.58","3.27M","1.06%"
"Jun 19, 2018","8.50","8.62","8.64","8.50","4.46M","-0.70%"
"Jun 18, 2018","8.56","8.55","8.69","8.55","4.08M","0.12%"
"Jun 14, 2018","8.55","8.71","8.74","8.55","5.73M","-1.04%"
"Jun 13, 2018","8.64","8.61","8.67","8.58","3.55M","0.47%"
"Jun 12, 2018","8.60","8.78","8.85","8.60","6.55M","-2.27%"
"Jun 11, 2018","8.80","8.88","8.93","8.79","4.52M","0.23%"
"Jun 08, 2018","8.78","8.87","8.90","8.76","2.73M","-0.90%"
"Jun 07, 2018","8.86","8.81","8.98","8.81","5.96M","0.68%"
"Jun 06, 2018","8.80","8.85","8.87","8.80","2.16M","-0.56%"
"Jun 05, 2018","8.85","8.80","8.93","8.80","4.26M","-1.12%"
"Jun 04, 2018","8.95","8.85","8.95","8.68","6.87M","0.56%"
"Jun 01, 2018","8.90","8.80","8.96","8.73","4.68M","1.25%"
"May 31, 2018","8.79","8.61","8.90","8.61","24.22M","2.21%"
"May 30, 2018","8.60","8.85","8.85","8.60","7.71M","-3.15%"
"May 28, 2018","8.88","8.70","8.92","8.60","6.38M","2.07%"
"May 25, 2018","8.70","8.50","8.70","8.49","6.59M","3.08%"
"May 24, 2018","8.44","8.50","8.50","8.40","6.17M","0.12%"
"May 23, 2018","8.43","8.70","8.70","8.40","5.69M","-2.43%"
"May 22, 2018","8.64","8.73","8.74","8.64","1.26M","0.00%"
"May 21, 2018","8.64","8.72","8.78","8.63","2.28M","-0.35%"
"May 18, 2018","8.67","8.85","8.88","8.67","3.44M","-1.70%"
"May 17, 2018","8.82","8.70","9.00","8.70","5.42M","1.50%"
"May 16, 2018","8.69","8.81","8.81","8.57","4.92M","-0.80%"
"May 15, 2018","8.76","8.99","8.99","8.73","6.67M","-2.23%"
"May 14, 2018","8.96","8.60","8.98","8.50","8.55M","4.19%"
"May 08, 2018","8.60","8.51","8.68","8.50","4.74M","1.18%"
"May 07, 2018","8.50","8.64","8.65","8.50","2.43M","-1.51%"
"May 04, 2018","8.63","8.70","8.74","8.63","1.92M","-0.80%"
"May 03, 2018","8.70","8.77","8.80","8.70","2.58M","-0.68%"
"May 02, 2018","8.76","8.93","8.93","8.72","3.31M","-1.90%"
"Apr 30, 2018","8.93","8.83","8.95","8.75","2.29M","1.59%"
"Apr 27, 2018","8.79","8.78","8.81","8.72","1.43M","1.50%"
"Apr 26, 2018","8.66","8.75","8.79","8.66","2.98M","-1.03%"
"Apr 25, 2018","8.75","8.81","8.81","8.73","1.15M","0.00%"
"Apr 24, 2018","8.75","8.91","8.91","8.75","4.12M","-1.24%"
"Apr 23, 2018","8.86","8.90","8.90","8.84","1.93M","0.00%"
"Apr 20, 2018","8.86","9.08","9.08","8.86","2.74M","-2.10%"
"Apr 19, 2018","9.05","9.09","9.09","9.00","5.36M","-0.22%"
"Apr 18, 2018","9.07","9.03","9.08","8.95","3.08M","0.78%"
"Apr 17, 2018","9.00","8.92","9.01","8.85","2.73M","1.01%"
"Apr 16, 2018","8.91","8.98","8.98","8.88","2.24M","-0.56%"
"Apr 13, 2018","8.96","8.91","9.02","8.91","2.50M","-0.99%"
"Apr 12, 2018","9.05","9.05","9.06","8.95","2.77M","0.11%"
"Apr 11, 2018","9.04","8.95","9.04","8.94","2.55M","1.12%"
"Apr 10, 2018","8.94","8.84","8.94","8.76","1.90M","0.45%"
"Apr 09, 2018","8.90","8.74","8.90","8.74","1.50M","1.95%"
"Apr 06, 2018","8.73","8.83","8.83","8.72","1.23M","-1.24%"
"Apr 05, 2018","8.84","8.75","8.86","8.66","2.10M","1.84%"
"Apr 04, 2018","8.68","8.80","8.84","8.47","6.82M","-1.03%"
"Apr 03, 2018","8.77","8.80","8.80","8.73","1.66M","-0.34%"
"Apr 02, 2018","8.80","8.78","8.83","8.76","2.57M","0.80%"
"Mar 30, 2018","8.73","8.73","8.84","8.70","1.59M","0.34%"
"Mar 29, 2018","8.70","8.83","8.89","8.69","8.43M","-1.69%"
"Mar 28, 2018","8.85","8.90","8.96","8.82","3.56M","-0.56%"
"Mar 27, 2018","8.90","8.93","9.00","8.85","1.50M","0.45%"
"Mar 26, 2018","8.86","8.94","8.98","8.83","2.27M","-0.45%"
"Mar 23, 2018","8.90","8.90","8.99","8.83","3.64M","-1.33%"
"Mar 22, 2018","9.02","9.03","9.08","8.92","1.46M","-0.22%"
"Mar 21, 2018","9.04","9.00","9.04","8.92","2.09M","0.56%"
"Mar 20, 2018","8.99","8.90","9.00","8.84","3.37M","0.00%"
"Mar 19, 2018","8.99","8.99","9.03","8.88","648.20K","0.45%"
"Mar 16, 2018","8.95","8.89","9.05","8.83","6.00M","0.56%"
"Mar 15, 2018","8.90","9.00","9.05","8.90","1.61M","-1.66%"
"Mar 14, 2018","9.05","8.91","9.06","8.88","2.69M","1.46%"
"Mar 13, 2018","8.92","8.91","9.05","8.85","3.22M","-0.78%"
"Mar 12, 2018","8.99","9.00","9.01","8.89","1.89M","0.78%"
"Mar 09, 2018","8.92","8.78","8.97","8.78","6.33M","1.59%"
"Mar 08, 2018","8.78","8.72","8.86","8.71","2.68M","1.15%"
"Mar 07, 2018","8.68","8.81","8.85","8.68","3.99M","-1.48%"
"Mar 06, 2018","8.81","8.88","8.93","8.78","3.48M","-0.68%"
"Mar 05, 2018","8.87","8.98","8.99","8.83","2.47M","-0.67%"
"Mar 02, 2018","8.93","9.07","9.07","8.93","3.29M","-1.33%"
"Mar 01, 2018","9.05","8.79","9.08","8.78","3.93M","3.08%"
"Feb 28, 2018","8.78","8.92","9.01","8.78","7.95M","-1.57%"
"Feb 27, 2018","8.92","8.92","9.01","8.90","4.88M","0.00%"
"Feb 26, 2018","8.92","9.10","9.16","8.92","3.94M","-1.98%"
"Feb 23, 2018","9.10","9.07","9.13","9.03","3.27M","-0.11%"
"Feb 22, 2018","9.11","9.11","9.17","9.07","2.30M","-0.22%"
"Feb 21, 2018","9.13","9.08","9.21","9.02","2.43M","0.00%"
"Feb 20, 2018","9.13","9.16","9.24","9.08","3.15M","-0.87%"
"Feb 19, 2018","9.21","9.09","9.25","9.04","9.19M","2.22%"
"Feb 15, 2018","9.01","8.97","9.08","8.96","3.27M","1.01%"
"Feb 14, 2018","8.92","8.89","8.95","8.88","2.39M","0.68%"
"Feb 13, 2018","8.86","8.89","8.95","8.82","3.53M","0.68%"
"Feb 12, 2018","8.80","8.85","8.97","8.80","4.40M","0.23%"
"Feb 09, 2018","8.78","8.89","8.95","8.78","7.72M","-2.44%"
"Feb 08, 2018","9.00","9.10","9.17","9.00","3.91M","-0.44%"
"Feb 07, 2018","9.04","9.26","9.35","9.00","6.63M","-1.63%"
"Feb 06, 2018","9.19","9.30","9.30","9.12","5.98M","-1.82%"
"Feb 05, 2018","9.36","9.37","9.48","9.34","4.05M","-0.64%"
"Feb 02, 2018","9.42","9.69","9.69","9.42","5.14M","-2.18%"
"Jan 30, 2018","9.63","9.56","9.67","9.56","2.32M","-0.52%"
"Jan 29, 2018","9.68","9.60","9.70","9.58","3.03M","0.83%"
"Jan 26, 2018","9.60","9.61","9.61","9.56","2.68M","0.10%"
"Jan 25, 2018","9.59","9.66","9.70","9.57","4.01M","-0.72%"
"Jan 24, 2018","9.66","9.80","9.80","9.66","3.65M","-1.63%"
