symbol,name,code
3A,THREE-A RESOURCES BHD,0012
AASIA,ASTRAL ASIA BHD,7054
AAX,AIRASIA X BHD,5238
ABLEGRP,ABLEGROUP BHD,7086
ABMB,ALLIANCE BANK MALAYSIA BHD,2488
ACME,ACME HOLDINGS BHD,7131
ACOSTEC,ACOUSTECH BHD,7120
ADVCON,ADVANCECON HOLDINGS BHD,5281
ADVENTA,ADVENTA BHD,7191
ADVPKG,ADVANCE PACKAGING TECHNOLOGY (M) BHD,9148
AEM,AE MULTI HOLDINGS BHD,7146
AEMULUS,AEMULUS HOLDINGS BHD,0181
AEON,AEON CO (M) BHD,6599
AEONCR,AEON CREDIT SERVICE (M) BHD,5139
AFFIN,AFFIN HOLDINGS BHD,5185
AFUJIYA,ABM FUJIYA BHD,5198
AHB,AHB HOLDINGS BHD,7315
AHEALTH,APEX HEALTHCARE BHD,7090
AHP,AMANAH HARTA TANAH PNB,4952
AIM,ADVANCE INFORMATION MARKETING BHD,0122
AIRASIA,AIRASIA BHD,5099
AIRPORT,MALAYSIA AIRPORTS HOLDINGS BHD,5014
AISB,AMALGAMATED INDUSTRIAL STEEL,2682
AJI,AJINOMOTO (MALAYSIA) BHD,2658
AJIYA,AJIYA BHD,7609
AKNIGHT,ASIA KNIGHT BHD,9954
ALAM,ALAM MARITIM RESOURCES BHD,5115
ALAQAR,AL-AQAR HEALTHCARE REIT,5116
ALCOM,ALUMINIUM CO OF MALAYSIA BHD,2674
ALLIANZ,ALLIANZ MALAYSIA BHD,1163
ALSREIT,AL-SALAM REAL ESTATE INVESTMENT TRUST,5269
AMBANK,AMMB HOLDINGS BHD,1015
AMEDIA,ASIA MEDIA GROUP BHD,0159
AMFIRST,AMFIRST REAL ESTATE INVESTMENT TRUST,5120
AMPROP,AMCORP PROPERTIES BHD,1007
AMTEK,AMTEK HOLDINGS BHD,7051
AMTEL,AMTEL HOLDINGS BHD,7031
AMVERTON,AMVERTON BHD,5959
AMWAY,AMWAY MALAYSIA HOLDINGS BHD,6351
ANALABS,ANALABS RESOURCES BHD,7083
ANCOM,ANCOM BHD,4758
ANCOMLB,ANCOM LOGISTICS BHD,0048
ANNJOO,ANN JOO RESOURCES BHD,6556
ANZO,ANZO HOLDINGS BHD,9342
APB,APB RESOURCES BHD,5568
APEX,APEX EQUITY HOLDINGS BHD,5088
APFT,APFT BHD,5194
APM,APM AUTOMOTIVE HOLDINGS BHD,5015
APOLLO,APOLLO FOOD HOLDINGS BHD,6432
APPASIA,APPASIA BHD,0119
ARANK,A-RANK BHD,7214
ARK,ARK RESOURCES BHD,7007
ARMADA,BUMI ARMADA BHD,5210
ARREIT,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,5127
ASB,ADVANCE SYNERGY BHD,1481
ASDION,ASDION BHD,0068
ASIABRN,ASIA BRANDS BHD,7722
ASIAFLE,ASIA FILE CORP BHD,7129
ASIAPAC,ASIAN PAC HOLDINGS BHD,4057
ASIAPLY,ASIA POLY HOLDINGS BHD,0105
ASTINO,ASTINO BHD,7162
ASTRO,ASTRO MALAYSIA HOLDINGS BHD,6399
AT,AT SYSTEMATIZATION BHD,0072
ATAIMS,DENKO INDUSTRIAL CORP BHD,8176
ATLAN,ATLAN HOLDINGS BHD,7048
ATRIUM,ATRIUM REAL ESTATE INVESTMENT TRUST,5130
ATTA,ATTA GLOBAL GROUP BHD,7099
ATURMJU,ATURMAJU RESOURCES BHD,7181
AVI,AVILLION BHD,8885
AWC,AWC BHD,7579
AXIATA,AXIATA GROUP BERHAD,6888
AXREIT,AXIS REAL ESTATE INVESTMENT TRUST,5106
AYER,AYER HOLDINGS BHD,2305
AYS,AYS VENTURES BHD,5021
AZRB,AHMAD ZAKI RESOURCES BHD,7078
BAHVEST,BORNEO AQUA HARVEST BHD,0098
BARAKAH,BARAKAH OFFSHORE PETROLEUM BHD,7251
BAT,BRITISH AMERICAN TOBACCO MALAYSIA BHD,4162
BAUTO,BERMAZ AUTO BHD,5248
BCB,BCB BHD,6602
BCMALL,BCM ALLIANCE BHD,0187
BDB,BINA DARULAMAN BHD,6173
BENALEC,BENALEC HOLDINGS BHD,5190
BERTAM,BERTAM ALLIANCE BHD,9814
BHIC,BOUSTEAD HEAVY INDUSTRIES CORP BHD,8133
BIG,B. I. G. INDUSTRIES BHD,7005
BIMB,BIMB HOLDINGS BHD,5258
BINACOM,BINASAT COMMUNICATIONS BERHAD,0195
BINTAI,BINTAI KINDEN CORP BHD,6998
BIOHLDG,BIOALPHA HOLDINGS BHD,0179
BIOOSMO,BIO OSMO BHD,7243
BIPORT,BINTULU PORT HOLDINGS BHD,5032
BJASSET,BERJAYA ASSETS BHD,3239
BJCORP,BERJAYA CORP BHD,3395
BJFOOD,BERJAYA FOOD BHD,5196
BJLAND,BERJAYA LAND BHD,4219
BJMEDIA,BERJAYA MEDIA BHD,6025
BJTOTO,BERJAYA SPORTS TOTO BHD,1562
BKAWAN,BATU KAWAN BHD,1899
BKOON,BOON KOON GROUP BHD,7187
BLDPLNT,BLD PLANTATION BHD,5069
BOILERM,BOILERMECH HOLDINGS BHD,0168
BONIA,BONIA CORP BHD,9288
BORNOIL,BORNEO OIL BERHAD,7036
BOXPAK,BOX-PAK (MALAYSIA) BHD,6297
BPLANT,BOUSTEAD PLANTATIONS BHD,5254
BPPLAS,BP PLASTICS HOLDING BHD,5100
BPURI,BINA PURI HOLDINGS BHD,5932
BRAHIMS,BRAHIM'S HOLDINGS BHD,9474
BREM,BREM HOLDING BHD,8761
BRIGHT,BRIGHT PACKAGING INDUSTRY BHD,9938
BSLCORP,BSL CORP BHD,7221
BSTEAD,BOUSTEAD HOLDINGS BHD,2771
BTECH,BRITE-TECH BHD,0011
BTM,BTM RESOURCES BHD,7188
BURSA,BURSA MALAYSIA BHD,1818
CAB,CAB CAKARAN CORP BHD,7174
CABNET,CABNET HOLDINGS BERHAD,0191
CAELY,CAELY HOLDINGS BHD,7154
CAMRES,CAM RESOURCES BHD,7128
CANONE,CAN-ONE BHD,5105
CAP,CHINA AUTOMOBILE PARTS HOLDINGS LTD,5229
CAREPLS,CAREPLUS GROUP BHD,0163
CARIMIN,CARIMIN PETROLEUM BHD,5257
CARING,CARING PHARMACY GROUP BHD,5245
CARLSBG,CARLSBERG BREWERY MALAYSIA BHD,2836
CBIP,CB INDUSTRIAL PRODUCT HOLDING BHD,7076
CCB,CYCLE & CARRIAGE BINTANG BHD,2925
CCK,CCK CONSOLIDATED HOLDINGS BHD,7035
CCM,CHEMICAL CO OF MALAYSIA BHD,2879
CCMDBIO,CCM DUOPHARMA BIOTECH BHD,7148
CENSOF,CENSOF HOLDINGS BHD,5195
CEPAT,CEPATWAWASAN GROUP BHD,8982
CEPCO,CONCRETE ENGINEERING PRODUCTS,8435
CFM,COMPUTER FORMS (MALAYSIA) BHD,8044
CHEETAH,CHEETAH HOLDINGS BHD,7209
CHHB,COUNTRY HEIGHTS HOLDINGS BHD,5738
CHINHIN,CHIN HIN GROUP BHD,5273
CHINTEK,CHIN TECK PLANTATIONS BHD,1929
CHINWEL,CHIN WELL HOLDINGS BHD,5007
CHOOBEE,CHOO BEE METAL INDUSTRIES BHD,5797
CHUAN,CHUAN HUAT RESOURCES BHD,7016
CICB,CENTRAL INDUSTRIAL CORP BHD,8052
