code,ann_date,ex_date,payment_date,dividend_type,subject,amount
4448,10-May-2018,14-May-2018,25-May-2018,DIVIDEND,Ordinary Dividend,RM 0.2
4448,27-Jul-2017,17-Aug-2017,08-Sep-2017,DIVIDEND,Interim Dividend,RM 0.2
4448,23-Feb-2017,09-May-2017,26-May-2017,DIVIDEND,Ordinary Dividend,40%
4448,28-Jul-2016,18-Aug-2016,09-Sep-2016,DIVIDEND,Interim Dividend,30%
4448,16-Feb-2016,12-May-2016,30-May-2016,DIVIDEND,Final Dividend,50.0000%
4448,03-Nov-2015,18-Nov-2015,09-Dec-2015,DIVIDEND,Interim Dividend,20.0000%
4448,04-Aug-2015,17-Aug-2015,11-Sep-2015,DIVIDEND,Interim Dividend,40.0000%
4448,17-Feb-2015,13-May-2015,29-May-2015,DIVIDEND,Special Dividend,50%
4448,17-Feb-2015,13-May-2015,29-May-2015,DIVIDEND,Final Dividend,30%
4448,04-Nov-2014,17-Nov-2014,08-Dec-2014,DIVIDEND,Special Dividend,50%
4448,05-Aug-2014,18-Aug-2014,09-Sep-2014,DIVIDEND,Interim Dividend,40%
4448,25-Feb-2014,12-May-2014,28-May-2014,DIVIDEND,Final Dividend,30%
4448,25-Feb-2014,12-May-2014,28-May-2014,DIVIDEND,Special Dividend,60%
4448,01-Nov-2013,15-Nov-2013,04-Dec-2013,DIVIDEND,Second interim dividend,30%
4448,25-Jul-2013,12-Aug-2013,28-Aug-2013,DIVIDEND,Interim Dividend,32%
4448,18-Feb-2013,13-May-2013,31-May-2013,DIVIDEND,Special Dividend,60%
4448,18-Feb-2013,13-May-2013,31-May-2013,DIVIDEND,Final Dividend,30%
4448,26-Jul-2012,07-Aug-2012,06-Sep-2012,DIVIDEND,Interim Dividend,30%
4448,16-Feb-2012,16-May-2012,15-Jun-2012,DIVIDEND,Final Dividend,30%
4448,16-Feb-2012,16-May-2012,15-Jun-2012,DIVIDEND,Special Dividend,50%
4448,28-Jul-2011,09-Aug-2011,08-Sep-2011,DIVIDEND,Interim Dividend,20%
4448,18-Feb-2011,18-May-2011,17-Jun-2011,DIVIDEND,Special Dividend,50%
4448,18-Feb-2011,18-May-2011,17-Jun-2011,DIVIDEND,Final Dividend,30%
4448,19-Jul-2010,30-Jul-2010,06-Aug-2010,CONSOLIDATION,Others,RM 0.33
4448,09-Feb-2010,18-May-2010,18-Jun-2010,DIVIDEND,Final Dividend,10%
4448,09-Feb-2010,18-May-2010,18-Jun-2010,DIVIDEND,Special Dividend,20%
4448,19-Feb-2009,13-May-2009,12-Jun-2009,DIVIDEND,Final Dividend,10%
4448,23-Aug-2007,13-Nov-2007,14-Dec-2007,DIVIDEND,Final Dividend,7%
4448,14-Feb-2007,18-Apr-2007,11-May-2007,DIVIDEND,Interim Dividend,3%
4448,08-Aug-2006,15-Nov-2006,15-Dec-2006,DIVIDEND,Final Dividend,5%
4448,23-Feb-2006,05-Apr-2006,05-May-2006,DIVIDEND,Interim Dividend,2%
4448,25-Aug-2005,10-Nov-2005,12-Dec-2005,DIVIDEND,Final Dividend,3%
4448,06-Aug-2004,08-Nov-2004,09-Dec-2004,DIVIDEND,Final Dividend,10%
4448,21-Aug-2003,07-Nov-2003,10-Dec-2003,DIVIDEND,Final Dividend,7%
4448,26-Aug-2002,08-Nov-2002,10-Dec-2002,DIVIDEND,Final Dividend,7%
4448,04-Feb-2002,04-Apr-2002,06-May-2002,DIVIDEND,Interim Dividend,3%
4448,20-Aug-2001,08-Nov-2001,10-Dec-2001,DIVIDEND,Final Dividend,7%
4448,09-Feb-2001,05-Apr-2001,04-May-2001,DIVIDEND,Interim Dividend,3%
4448,29-Aug-2000,14-Nov-2000,15-Dec-2000,DIVIDEND,First and Final Dividend,5%
4448,25-Aug-2000,14-Nov-2000,15-Dec-2000,DIVIDEND,First and Final Dividend,5%
