code,name,ex_dividend_date,dividend,payment_date,yield
5218,Sapura Energy Bhd (SAEN),"Apr 12, 2017",0.01,"Apr 28, 2017",2.94%
5218,Sapura Energy Bhd (SAEN),"Jul 29, 2015",0.0135,"Aug 28, 2015",0.72%
138,MY EG Services Bhd (MYEG),"Apr 24, 2018",0.017,"May 25, 2018",1.30%
138,MY EG Services Bhd (MYEG),"Jan 04, 2018",0.017,"Feb 06, 2018",0.63%
138,MY EG Services Bhd (MYEG),"Apr 21, 2017",0.0137,"May 24, 2017",0.64%
138,MY EG Services Bhd (MYEG),"Dec 23, 2016",0.012,"Jan 25, 2017",0.74%
138,MY EG Services Bhd (MYEG),"Apr 22, 2016",0.012,"May 24, 2016",0.56%
138,MY EG Services Bhd (MYEG),"Jan 04, 2016",0.0095,"Feb 04, 2016",0.44%
128,Frontken Corporation Bhd (FRKN),"Sep 15, 2017",0.005,"Oct 04, 2017",0.60%
9385,Lay Hong Bhd (LAYH),"Oct 18, 2018",0.005,"Nov 15, 2018",0.79%
9385,Lay Hong Bhd (LAYH),"Oct 13, 2017",0.005,"Nov 08, 2017",0.57%
9385,Lay Hong Bhd (LAYH),"Oct 12, 2016",0.005,"Nov 03, 2016",0.55%
5878,KPJ Healthcare Bhd (KPJH),"Sep 12, 2018",0.019,"Oct 05, 2018",1.68%
5878,KPJ Healthcare Bhd (KPJH),"Jun 27, 2018",0.0178,"Jul 20, 2018",1.56%
5878,KPJ Healthcare Bhd (KPJH),"Mar 28, 2018",0.0173,"Apr 20, 2018",1.84%
5878,KPJ Healthcare Bhd (KPJH),"Dec 11, 2017",0.0178,"Dec 22, 2017",1.90%
5878,KPJ Healthcare Bhd (KPJH),"Sep 19, 2017",0.0175,"Oct 12, 2017",1.75%
5878,KPJ Healthcare Bhd (KPJH),"Jun 28, 2017",0.07,"Jul 21, 2017",1.67%
5210,Bumi Armada Bhd (BUAB),"Jul 28, 2016",0.0082,"Aug 18, 2016",1.07%
5210,Bumi Armada Bhd (BUAB),"Jun 11, 2015",0.0163,"Jul 03, 2015",2.08%
1651,Malaysian Resources Corporation (MYRS),"Jul 18, 2018",0.0175,"Aug 17, 2018",2.46%
1651,Malaysian Resources Corporation (MYRS),"Jul 25, 2017",0.024,"Aug 18, 2017",2.33%
1651,Malaysian Resources Corporation (MYRS),"Jan 21, 2016",0.025,"Feb 24, 2016",1.81%
1651,Malaysian Resources Corporation (MYRS),"Jun 30, 2015",0.025,"Jul 24, 2015",1.92%
5239,Titijaya Land Bhd (TITI),"Dec 12, 2017",0.0025,"Dec 28, 2017",0.65%
5239,Titijaya Land Bhd (TITI),"Dec 06, 2016",0.005,"Dec 30, 2016",0.33%
1619,DRB - Hicom Bhd (DRBM),"Sep 07, 2018",0.03,"Oct 01, 2018",1.43%
1619,DRB - Hicom Bhd (DRBM),"Sep 08, 2017",0.01,"Oct 03, 2017",0.45%
1619,DRB - Hicom Bhd (DRBM),"Oct 07, 2016",0.02,"Nov 01, 2016",1.18%
1619,DRB - Hicom Bhd (DRBM),"Sep 11, 2015",0.06,"Oct 09, 2015",6.52%
0151,Kelington Group Bhd (KELG),"Jun 27, 2018",0.015,"Jul 25, 2018",1.82%
0151,Kelington Group Bhd (KELG),"Jul 04, 2017",0.01,"Aug 02, 2017",1.33%
0151,Kelington Group Bhd (KELG),"Jul 11, 2016",0.005,"Aug 10, 2016",0.83%
5243,Velesto Energy Bhd (VELE),"Dec 26, 2014",0.01,"Jan 15, 2015",1.11%
1023,Bumiputra - Commerce Holdings Bhd (CIMB),"Sep 24, 2018",0.25,"Oct 24, 2018",4.07%
1023,Bumiputra - Commerce Holdings Bhd (CIMB),"Mar 28, 2018",0.25,"Apr 30, 2018",4.26%
1023,Bumiputra - Commerce Holdings Bhd (CIMB),"Oct 10, 2017",0.25,"Nov 10, 2017",3.46%
1023,Bumiputra - Commerce Holdings Bhd (CIMB),"Mar 28, 2017",0.2,"Apr 28, 2017",3.17%
1023,Bumiputra - Commerce Holdings Bhd (CIMB),"Sep 27, 2016",0.19,"Oct 28, 2016",3.54%
1023,Bumiputra - Commerce Holdings Bhd (CIMB),"Mar 24, 2016",0.14,"Apr 25, 2016",2.95%
5099,Airasia Bhd (AIRA),"Jun 12, 2018",0.24,"Jul 13, 2018",7.10%
5099,Airasia Bhd (AIRA),"Sep 13, 2017",0.18,"Oct 13, 2017",5.50%
5099,Airasia Bhd (AIRA),"May 23, 2017",0.12,"Jun 23, 2017",3.63%
5099,Airasia Bhd (AIRA),"May 26, 2016",0.04,"Jun 29, 2016",1.30%
5099,Airasia Bhd (AIRA),"Jun 01, 2015",0.03,"Jul 02, 2015",1.64%
5347,Tenaga Nasional Bhd (TENA),"Sep 26, 2018",0.6635,"Oct 11, 2018",4.21%
5347,Tenaga Nasional Bhd (TENA),"Apr 04, 2018",0.7108,"Apr 19, 2018",4.53%
5347,Tenaga Nasional Bhd (TENA),"Dec 19, 2017",0.61,"Dec 29, 2017",3.89%
5347,Tenaga Nasional Bhd (TENA),"May 18, 2017",0.39,"May 31, 2017",2.63%
5347,Tenaga Nasional Bhd (TENA),"Dec 16, 2016",0.32,"Dec 30, 2016",2.30%
5347,Tenaga Nasional Bhd (TENA),"May 18, 2016",0.29,"May 31, 2016",2.01%
7277,Dialog Group Bhd (DIAL),"Jun 12, 2018",0.0285,"Jun 28, 2018",0.83%
7277,Dialog Group Bhd (DIAL),"Nov 29, 2017",0.0265,"Dec 20, 2017",0.80%
7277,Dialog Group Bhd (DIAL),"Jun 09, 2017",0.024,"Jun 29, 2017",1.09%
7277,Dialog Group Bhd (DIAL),"Nov 30, 2016",0.022,"Dec 20, 2016",1.15%
7277,Dialog Group Bhd (DIAL),"Jun 10, 2016",0.022,"Jun 28, 2016",1.43%
7277,Dialog Group Bhd (DIAL),"Nov 25, 2015",0.022,"Dec 17, 2015",1.46%
7106,Supermax Corporation Bhd (SUPM),"Jun 11, 2018",0.06,"Jun 28, 2018",1.46%
7106,Supermax Corporation Bhd (SUPM),"Mar 13, 2018",0.06,"Mar 28, 2018",1.86%
7106,Supermax Corporation Bhd (SUPM),"Nov 28, 2017",0.055,"Dec 18, 2017",2.51%
7106,Supermax Corporation Bhd (SUPM),"Jul 05, 2017",0.065,"Jul 28, 2017",3.55%
7106,Supermax Corporation Bhd (SUPM),"Nov 24, 2016",0.06,"Dec 19, 2016",2.94%
