name,link,last,high,low,change,change_percent,volume
Priceworth International,https://www.investing.com/equities/priceworth-international,0.045,0.055,0.045,-0.005,-10.00%,223.12M
Sapura Energy,https://www.investing.com/equities/sapurakencana-petroleum-bhd,0.335,0.345,0.335,0.000,0.00%,53.62M
Borneo Oil,https://www.investing.com/equities/borneo-oil-bhd,0.055,0.060,0.055,0.000,0.00%,50.93M
MY EG Services,https://www.investing.com/equities/my-eg-services-bhd,1.630,1.700,1.620,-0.020,-1.21%,35.62M
Tiger Synergy Bhd,https://www.investing.com/equities/tiger-synergy-bhd,0.070,0.075,0.065,-0.005,-6.67%,29.80M
Nova MSC,https://www.investing.com/equities/nova-msc-bhd,0.160,0.160,0.145,+0.005,+3.23%,22.05M
Frontken Corp,https://www.investing.com/equities/frontken-corporation-bhd,0.920,0.960,0.915,0.000,0.00%,20.90M
Globaltec Formation,https://www.investing.com/equities/globaltec-formation-bhd,0.040,0.045,0.035,-0.005,-11.11%,19.77M
AirAsia X,https://www.investing.com/equities/airasia-x-bhd,0.290,0.305,0.290,-0.010,-3.33%,19.08M
Nexgram,https://www.investing.com/equities/nexgram-holdings-bhd,0.025,0.025,0.020,0.000,0.00%,15.68M
Lay Hong,https://www.investing.com/equities/lay-hong-bhd,0.655,0.680,0.640,+0.010,+1.55%,15.34M
KPJ Healthcare,https://www.investing.com/equities/kpj-healthcare-bhd,1.120,1.120,1.100,0.000,0.00%,13.07M
DGB Asia,https://www.investing.com/equities/dgb-asia-bhd,0.170,0.175,0.165,+0.005,+3.03%,12.32M
Vizione Holdings,https://www.investing.com/equities/astral-supreme-bhd,0.135,0.140,0.130,0.000,0.00%,12.29M
Bumi Armada,https://www.investing.com/equities/bumi-armada-bhd,0.560,0.590,0.550,+0.005,+0.90%,11.65M
KNM Group Bhd,https://www.investing.com/equities/knm-group-bhd,0.145,0.155,0.140,-0.010,-6.45%,11.19M
XOX Bhd,https://www.investing.com/equities/xox-bhd,0.065,0.070,0.065,-0.005,-7.14%,10.65M
Malaysian Resources,https://www.investing.com/equities/malaysian-resources-corporation,0.720,0.730,0.705,+0.005,+0.70%,9.96M
Titijaya Land,https://www.investing.com/equities/titijaya-land-bhd,0.320,0.340,0.320,-0.005,-1.54%,9.53M
DRB Hicom,https://www.investing.com/equities/drb---hicom-bhd,2.160,2.210,2.070,+0.090,+4.35%,9.40M
Kelington Group,https://www.investing.com/equities/kelington-group-bhd,0.935,0.955,0.925,+0.010,+1.08%,9.28M
Velesto Energy,https://www.investing.com/equities/umw-oil-and-gas-corporation,0.260,0.265,0.260,0.000,0.00%,9.00M
