code,name,url
5218,Sapura Energy Bhd (SAEN),https://www.investing.com/equities/sapurakencana-petroleum-bhd-dividends
138,MY EG Services Bhd (MYEG),https://www.investing.com/equities/my-eg-services-bhd-dividends
128,Frontken Corporation Bhd (FRKN),https://www.investing.com/equities/frontken-corporation-bhd-dividends
9385,Lay Hong Bhd (LAYH),https://www.investing.com/equities/lay-hong-bhd-dividends
5878,KPJ Healthcare Bhd (KPJH),https://www.investing.com/equities/kpj-healthcare-bhd-dividends
5210,Bumi Armada Bhd (BUAB),https://www.investing.com/equities/bumi-armada-bhd-dividends
1651,Malaysian Resources Corporation (MYRS),https://www.investing.com/equities/malaysian-resources-corporation-dividends
5239,Titijaya Land Bhd (TITI),https://www.investing.com/equities/titijaya-land-bhd-dividends
1619,DRB - Hicom Bhd (DRBM),https://www.investing.com/equities/drb---hicom-bhd-dividends
0151,Kelington Group Bhd (KELG),https://www.investing.com/equities/kelington-group-bhd-dividends
5243,Velesto Energy Bhd (VELE),https://www.investing.com/equities/umw-oil-and-gas-corporation-dividends
1023,Bumiputra - Commerce Holdings Bhd (CIMB),https://www.investing.com/equities/bumiputra---commerce-holdings-bhd-dividends
5099,Airasia Bhd (AIRA),https://www.investing.com/equities/airasia-bhd-dividends
5347,Tenaga Nasional Bhd (TENA),https://www.investing.com/equities/tenaga-nasional-bhd-dividends
7277,Dialog Group Bhd (DIAL),https://www.investing.com/equities/dialog-group-bhd-dividends
7106,Supermax Corporation Bhd (SUPM),https://www.investing.com/equities/supermax-corporation-bhd-dividends
4197,Sime Darby Bhd (SIME),https://www.investing.com/equities/sime-darby-bhd-dividends
5183,Petronas Chemicals Group Bhd (PCGB),https://www.investing.com/equities/petronas-chemicals-group-bhd-dividends
7022,Globetronics Tech Bhd (GNIC),https://www.investing.com/equities/globetronics-tech-bhd-dividends
4863,Telekom Malaysia Bhd (TLMM),https://www.investing.com/equities/telekom-malaysia-bhd-dividends
6963,VS Industry Bhd (VSID),https://www.investing.com/equities/vs-industry-bhd-dividends
5168,Hartalega Holdings Bhd (HTHB),https://www.investing.com/equities/hartalega-holdings-bhd-dividends
5277,FoundPac Group Bhd (FOUN),https://www.investing.com/equities/foundpac-group-bhd-dividends
8311,Pesona Metro Holdings Bhd (PESO),https://www.investing.com/equities/pesona-metro-holdings-bhd-dividends
5072,Hiap Teck Venture Bhd (HTVE),https://www.investing.com/equities/hiap-teck-venture-bhd-dividends
5398,Gamuda Bhd (GAMU),https://www.investing.com/equities/gamuda-bhd-dividends
4715,Genting Malaysia Bhd (GENM),https://www.investing.com/equities/genting-malaysia-bhd-dividends
5225,IHH Healthcare Bhd (IHHH),https://www.investing.com/equities/ihh-healthcare-bhd-dividends
1155,Malayan Banking Bhd (MBBM),https://www.investing.com/equities/malayan-banking-bhd-dividends
1295,Public Bank Bhd (PUBM),https://www.investing.com/equities/public-bank-bhd-dividends
6742,YTL Power International Bhd (YTLP),https://www.investing.com/equities/ytl-power-international-bhd-dividends
5253,Econpile Holdings Bhd (ECOH),https://www.investing.com/equities/econpile-holdings-bhd-dividends
3182,Genting Bhd (GENT),https://www.investing.com/equities/genting-bhd-dividends
3336,IJM Corporation Bhd (IJMS),https://www.investing.com/equities/ijm-corporation-bhd-dividends
7249,Ewein Bhd (EWEI),https://www.investing.com/equities/ewein-bhd-dividends
5014,Malaysia Airport Holdings Bhd (MAHB),https://www.investing.com/equities/malaysia-airport-holdings-bhd-dividends
